Date,Open,High,Low,Close,AdjClose,Volume
1999-01-04,3.6250,3.6875,3.5000,3.5312,2.5633,10164000
1999-01-05,3.5547,3.7188,3.5469,3.6875,2.6767,10439200
1999-01-06,3.6953,3.8828,3.6406,3.8672,2.8071,15497600
1999-01-07,3.8438,3.8672,3.6719,3.7500,2.7220,9455200
1999-01-08,3.7188,3.7422,3.5078,3.5625,2.5859,10565600
1999-01-11,3.5312,3.5938,3.5156,3.5469,2.5746,8642400
1999-01-12,3.5391,3.5781,3.4766,3.5625,2.5859,8180000
1999-01-13,3.4375,3.5938,3.3828,3.5703,2.5916,6044800
1999-01-14,3.5547,3.7734,3.5547,3.6094,2.6200,9890400
1999-01-15,3.7031,3.7422,3.5938,3.5938,2.6086,7826400
1999-01-19,3.6250,3.7422,3.6250,3.7344,2.7107,6204800
1999-01-20,3.7031,3.7188,3.5625,3.6172,2.6256,7352000
1999-01-21,3.5312,3.5859,3.5312,3.5625,2.5859,10436000
1999-01-22,3.5625,3.6719,3.5625,3.6484,2.6483,9986400
1999-01-25,3.6250,3.7422,3.6250,3.7422,2.7164,4648800
1999-01-26,3.7109,3.8594,3.6875,3.7500,2.7220,11726400
1999-01-27,3.6250,3.7422,3.6250,3.6719,2.6653,8675200
1999-01-28,3.6406,3.7266,3.6328,3.6562,2.6540,8960800
1999-01-29,3.6875,3.7109,3.6406,3.6953,2.6823,7974400
1999-02-01,3.6875,3.6875,3.5625,3.5938,2.6086,8623200
1999-02-02,3.5156,3.6484,3.5156,3.6328,2.6370,8295200
1999-02-03,3.6250,3.8984,3.6250,3.8906,2.8241,9820800
1999-02-04,3.9062,3.9844,3.7188,3.7500,2.7220,14827200
1999-02-05,3.7656,3.8516,3.7500,3.8281,2.7787,8641600
1999-02-08,3.8281,3.9062,3.7578,3.8750,2.8128,7644800
1999-02-09,3.8281,3.8594,3.6094,3.6562,2.6566,9256000
1999-02-10,3.6562,3.7031,3.6250,3.6719,2.6679,8394400
1999-02-11,3.6406,3.7188,3.5781,3.7031,2.6906,11291200
1999-02-12,3.7188,3.7188,3.5625,3.5938,2.6111,4672000
1999-02-16,3.5625,3.6797,3.5547,3.6797,2.6736,5946400
1999-02-17,3.6406,3.6719,3.5156,3.5234,2.5601,5423200
1999-02-18,3.5469,3.5781,3.4141,3.4766,2.5260,5759200
1999-02-19,3.4844,3.5469,3.4688,3.4922,2.5374,11502400
1999-02-22,3.5000,3.8047,3.4922,3.7812,2.7474,8247200
1999-02-23,3.7500,3.7500,3.5938,3.6484,2.6509,7125600
1999-02-24,3.6250,3.6797,3.5703,3.6172,2.6282,6296000
1999-02-25,3.5859,3.5859,3.3828,3.5391,2.5714,5920800
1999-02-26,3.6094,3.6406,3.5234,3.5703,2.5941,6029600
1999-03-01,3.5469,3.7969,3.5391,3.7734,2.7417,11150400
1999-03-02,3.8438,3.9844,3.7812,3.8594,2.8041,15622400
1999-03-03,3.8906,4.0859,3.8750,3.9922,2.9006,18684000
1999-03-04,4.0938,4.1172,3.9844,4.0000,2.9063,15561600
1999-03-05,4.1250,4.2188,4.1250,4.1953,3.0482,14873600
1999-03-08,4.2266,4.2266,4.1250,4.1562,3.0198,9081600
1999-03-09,4.1250,4.3281,4.0938,4.2891,3.1163,11816800
1999-03-10,4.2891,4.4062,4.2578,4.4062,3.2015,9914400
1999-03-11,4.4062,4.4219,4.0625,4.1719,3.0312,10940800
1999-03-12,4.2031,4.3438,4.0391,4.0781,2.9631,12246400
1999-03-15,4.0625,4.1094,4.0547,4.1016,2.9801,8008000
1999-03-16,4.0000,4.0547,3.9766,4.0000,2.9063,7918400
1999-03-17,3.9688,4.2188,3.8750,4.2188,3.0653,9078400
1999-03-18,4.1875,4.2109,4.0000,4.1875,3.0426,4876000
1999-03-19,4.1719,4.1875,4.0703,4.0781,2.9631,6721600
1999-03-22,4.0625,4.1250,4.0469,4.0625,2.9517,4313600
1999-03-23,4.0781,4.1172,4.0312,4.0703,2.9574,7450400
1999-03-24,4.0781,4.1562,3.9688,4.0234,2.9233,9478400
1999-03-25,4.0156,4.2656,4.0000,4.2266,3.0709,11711200
1999-03-26,4.2188,4.2812,4.2031,4.2578,3.0936,5455200
1999-03-29,4.2891,4.4219,4.2734,4.3750,3.1788,7003200
1999-03-30,4.2344,4.3594,4.2188,4.2344,3.0766,7967200
1999-03-31,4.2656,4.3047,4.2500,4.2500,3.0880,8461600
1999-04-01,4.2266,4.2500,4.1719,4.2031,3.0539,7209600
1999-04-05,4.2812,4.2969,4.1953,4.2734,3.1050,7105600
1999-04-06,4.2812,4.4375,4.2188,4.4297,3.2185,14977600
1999-04-07,4.4219,4.4375,4.3203,4.3672,3.1731,9090400
1999-04-08,4.3984,4.4844,4.3594,4.4375,3.2242,10207200
1999-04-09,4.4453,4.5000,4.3594,4.4688,3.2469,9691200
1999-04-12,4.4688,4.5938,4.4375,4.5469,3.3037,7516800
1999-04-13,4.5312,4.6250,4.4219,4.4297,3.2185,6441600
1999-04-14,4.4141,4.4688,4.2344,4.2500,3.0880,8986400
1999-04-15,4.2266,4.3047,4.1094,4.1484,3.0142,9690400
1999-04-16,4.1094,4.2422,4.0938,4.1094,2.9858,7866400
1999-04-19,4.1094,4.2656,3.9062,3.9219,2.8496,10828800
1999-04-20,3.9531,4.0703,3.9531,3.9844,2.8950,10112800
1999-04-21,4.0547,4.2109,4.0312,4.2031,3.0539,5456000
1999-04-22,4.2266,4.2500,4.1172,4.1719,3.0312,4177600
1999-04-23,4.1250,4.2812,4.1250,4.2812,3.1107,5540000
1999-04-26,4.2812,4.3281,4.1719,4.2266,3.0709,6592800
1999-04-27,4.2500,4.2969,4.1406,4.2656,3.0993,5360000
1999-04-28,4.2031,4.2578,4.0234,4.0391,2.9347,7092800
1999-04-29,4.0469,4.2344,4.0469,4.0781,2.9631,12217600
1999-04-30,4.1250,4.2734,4.1250,4.1641,3.0255,9105600
1999-05-03,4.1406,4.1562,4.0078,4.0938,2.9744,11490400
1999-05-04,4.0312,4.2578,4.0156,4.1484,3.0142,7439200
1999-05-05,4.1797,4.2266,4.0312,4.0703,2.9574,8374400
1999-05-06,4.0625,4.0625,3.7422,3.8125,2.7701,22561600
1999-05-07,3.8125,3.9531,3.6719,3.9297,2.8552,18399200
1999-05-10,3.8984,3.8984,3.7266,3.7500,2.7247,13944800
1999-05-11,3.7969,3.8594,3.7266,3.7812,2.7506,12713600
1999-05-12,3.8125,3.8594,3.7344,3.7812,2.7506,8407200
1999-05-13,3.8125,3.9219,3.7812,3.7891,2.7563,10270400
1999-05-14,3.7734,3.7734,3.6484,3.6875,2.6824,7037600
1999-05-17,3.7031,3.7422,3.5938,3.7422,2.7222,10244000
1999-05-18,3.7188,3.8594,3.6328,3.6641,2.6653,17553600
1999-05-19,3.7422,3.7969,3.6797,3.7109,2.6994,15128000
1999-05-20,3.7812,3.8672,3.7422,3.7500,2.7279,22276000
1999-05-21,3.7500,3.7969,3.6875,3.7188,2.7051,18112000
1999-05-24,3.7891,3.7891,3.5938,3.5938,2.6142,16152800
1999-05-25,3.6250,3.7031,3.6250,3.6328,2.6426,19796800
1999-05-26,3.6641,3.7188,3.6406,3.6641,2.6653,15411200
1999-05-27,3.6484,3.7734,3.6406,3.7031,2.6938,11092000
1999-05-28,3.7031,3.8203,3.7031,3.7500,2.7279,9196000
1999-06-01,3.7500,3.8672,3.7344,3.8672,2.8131,9587200
1999-06-02,3.8750,3.9375,3.7656,3.7812,2.7506,8137600
1999-06-03,3.8438,3.9375,3.8281,3.8750,2.8188,6074400
1999-06-04,3.8750,3.9219,3.8125,3.9141,2.8472,7125600
1999-06-07,3.8984,3.9062,3.8438,3.8438,2.7961,3413600
1999-06-08,3.8594,3.8594,3.7656,3.8125,2.7733,6281600
1999-06-09,3.8047,3.8359,3.7656,3.7812,2.7506,4445600
1999-06-10,3.7734,3.8203,3.7734,3.7891,2.7563,3540000
1999-06-11,3.8125,3.8516,3.7500,3.7969,2.7620,5180000
1999-06-14,3.8281,3.8594,3.7656,3.7812,2.7506,4382400
1999-06-15,3.7656,3.8438,3.7031,3.7031,2.6938,7204800
1999-06-16,3.7812,3.9219,3.7734,3.8594,2.8074,6420000
1999-06-17,3.8125,3.9219,3.8125,3.8672,2.8131,8468800
1999-06-18,3.8438,3.9219,3.8281,3.8672,2.8131,10100800
1999-06-21,3.8672,3.9609,3.8516,3.9609,2.8813,5321600
1999-06-22,3.9297,4.0156,3.9062,3.9922,2.9040,8853600
1999-06-23,3.9844,3.9844,3.8281,3.9141,2.8472,10484000
1999-06-24,3.9688,4.0625,3.9375,4.0391,2.9381,9692000
1999-06-25,4.0078,4.1562,4.0078,4.1328,3.0063,12724800
1999-06-28,4.1250,4.2969,4.0703,4.2500,3.0916,10149600
1999-06-29,4.2344,4.2969,4.1250,4.2969,3.1257,6496000
1999-06-30,4.2969,4.2969,4.1562,4.1641,3.0291,8836000
1999-07-01,4.2969,4.2969,4.1875,4.2500,3.0916,6460000
1999-07-02,4.2344,4.3750,4.2344,4.3438,3.1598,4432800
1999-07-06,4.3750,4.4922,4.2812,4.3125,3.1370,6632000
1999-07-07,4.3125,4.3516,4.2500,4.3047,3.1314,3967200
1999-07-08,4.3750,4.4531,4.2656,4.2656,3.1029,11014400
1999-07-09,4.2891,4.3203,4.0781,4.2109,3.0632,13832800
1999-07-12,4.2422,4.2734,4.1719,4.2578,3.0973,3761600
1999-07-13,4.2266,4.2656,4.1406,4.2266,3.0745,3356000
1999-07-14,4.2266,4.2969,4.1875,4.2578,3.0973,2567200
1999-07-15,4.2812,4.3828,4.2812,4.3203,3.1427,5578400
1999-07-16,4.3438,4.3750,4.2969,4.3359,3.1541,4572800
1999-07-19,4.3438,4.3516,4.2266,4.2578,3.0973,3305600
1999-07-20,4.2109,4.3047,4.0625,4.1016,2.9836,9263200
1999-07-21,4.1094,4.2500,4.1094,4.1641,3.0291,3473600
1999-07-22,4.1641,4.1875,4.0000,4.0703,2.9609,8376000
1999-07-23,4.0625,4.1328,4.0078,4.0312,2.9324,3837600
1999-07-26,4.0156,4.1328,3.9844,4.0625,2.9552,5038400
1999-07-27,4.0547,4.1641,4.0547,4.1172,2.9950,6422400
1999-07-28,4.1875,4.2578,4.1719,4.2422,3.0859,9459200
1999-07-29,4.1953,4.1953,4.0625,4.0781,2.9665,7387200
1999-07-30,4.0625,4.1797,4.0625,4.1328,3.0063,7676000
1999-08-02,4.1328,4.1875,4.1094,4.1406,3.0120,9648800
1999-08-03,4.1797,4.1797,4.0781,4.1094,2.9893,4432800
1999-08-04,4.1172,4.1172,3.9062,3.9297,2.8586,8099200
1999-08-05,3.9844,4.0000,3.7812,3.9531,2.8756,9308800
1999-08-06,3.9219,3.9219,3.8203,3.8672,2.8131,4780000
1999-08-09,3.8672,3.8672,3.5781,3.7109,2.6994,10213600
1999-08-10,3.7031,3.7188,3.4531,3.6953,2.6913,17753600
1999-08-11,3.7500,3.8125,3.6562,3.7812,2.7538,8485600
1999-08-12,3.7656,3.8125,3.7109,3.7109,2.7026,5188800
1999-08-13,3.8125,3.8125,3.7344,3.8125,2.7766,7527200
1999-08-16,3.8125,3.9219,3.8125,3.8281,2.7880,11472000
1999-08-17,3.8750,3.8906,3.6797,3.7266,2.7140,13414400
1999-08-18,3.7344,3.7969,3.7188,3.7344,2.7197,9254400
1999-08-19,3.7031,3.7891,3.6719,3.7188,2.7083,8380800
1999-08-20,3.7344,3.7812,3.7188,3.7812,2.7538,2480800
1999-08-23,3.7656,3.8672,3.7656,3.8203,2.7823,5144000
1999-08-24,3.8359,3.8672,3.7812,3.8672,2.8164,5920800
1999-08-25,3.8516,3.8750,3.7500,3.8750,2.8221,8912000
1999-08-26,3.8750,3.8750,3.6562,3.7422,2.7254,7292000
1999-08-27,3.7266,3.7656,3.6406,3.6797,2.6799,10811200
1999-08-30,3.6562,3.7344,3.6250,3.6797,2.6799,6352000
1999-08-31,3.7188,3.7188,3.5312,3.6094,2.6287,12972000
1999-09-01,3.6406,3.6875,3.5938,3.6250,2.6400,11839200
1999-09-02,3.5625,3.5859,3.5000,3.5625,2.5945,6456000
1999-09-03,3.6094,3.6406,3.5781,3.6016,2.6230,5969600
1999-09-07,3.6875,3.6875,3.5859,3.5859,2.6116,6805600
1999-09-08,3.5938,3.6797,3.5781,3.6562,2.6628,10285600
1999-09-09,3.6641,3.7500,3.6406,3.7109,2.7026,8638400
1999-09-10,3.7344,3.7422,3.6953,3.7422,2.7254,4809600
1999-09-13,3.7344,3.8203,3.7109,3.8047,2.7709,5796000
1999-09-14,3.8125,3.8359,3.7188,3.7422,2.7254,3823200
1999-09-15,3.7891,3.8281,3.6797,3.6797,2.6799,3133600
1999-09-16,3.6484,3.6797,3.5469,3.6094,2.6287,9697600
1999-09-17,3.5781,3.7969,3.5781,3.7578,2.7368,7364000
1999-09-20,3.7031,3.7266,3.6562,3.6641,2.6685,4266400
1999-09-21,3.6250,3.6484,3.4766,3.4844,2.5376,14496800
1999-09-22,3.5156,3.5938,3.4922,3.5469,2.5831,7835200
1999-09-23,3.5625,3.5625,3.4453,3.4453,2.5092,8164800
1999-09-24,3.4375,3.5312,3.4375,3.4766,2.5319,5980000
1999-09-27,3.5234,3.5625,3.5000,3.5234,2.5661,10424000
1999-09-28,3.5000,3.5781,3.5000,3.5469,2.5831,8112000
1999-09-29,3.5547,3.5625,3.4922,3.5156,2.5604,6688000
1999-09-30,3.4531,3.5234,3.4375,3.5078,2.5547,13800000
1999-10-01,3.5078,3.5078,3.4688,3.4922,2.5433,11896000
1999-10-04,3.5000,3.6641,3.5000,3.6484,2.6571,11042400
1999-10-05,3.6250,3.7188,3.6250,3.6562,2.6628,11707200
1999-10-06,3.6094,3.7031,3.6016,3.6641,2.6685,6108000
1999-10-07,3.6562,3.7422,3.6562,3.6953,2.6913,14080800
1999-10-08,3.6406,3.9062,3.6406,3.8672,2.8164,13724000
1999-10-11,3.8203,3.8594,3.7500,3.7500,2.7311,8132000
1999-10-12,3.7500,3.7656,3.7031,3.7188,2.7083,7949600
1999-10-13,3.7031,3.7266,3.5078,3.5391,2.5775,12507200
1999-10-14,3.6016,3.6016,3.5156,3.5391,2.5775,7633600
1999-10-15,3.5000,3.5000,3.3672,3.3828,2.4637,6884000
1999-10-18,3.3672,3.3906,3.2031,3.3594,2.4466,10151200
1999-10-19,3.4688,3.5234,3.3594,3.3750,2.4580,10867200
1999-10-20,3.3750,3.3906,3.3125,3.3594,2.4466,9157600
1999-10-21,3.3594,3.3672,3.2656,3.3359,2.4295,7765600
1999-10-22,3.3281,3.3594,3.2812,3.2812,2.3897,10616800
1999-10-25,3.2344,3.2734,3.2031,3.2500,2.3669,10644000
1999-10-26,3.2500,3.2500,3.0000,3.1250,2.2759,21872800
1999-10-27,3.1250,3.1328,3.0156,3.0781,2.2418,11115200
1999-10-28,3.1250,3.3359,3.1172,3.3281,2.4238,13425600
1999-10-29,3.3594,3.4219,3.3281,3.3906,2.4693,11203200
1999-11-01,3.4375,3.4766,3.2969,3.3438,2.4352,9240000
1999-11-02,3.3438,3.4062,3.2500,3.2500,2.3669,13196000
1999-11-03,3.2812,3.2891,3.1094,3.1328,2.2816,17420800
1999-11-04,3.1953,3.2656,3.1562,3.1797,2.3157,19053600
1999-11-05,3.2031,3.2891,3.1406,3.1562,2.2987,10484800
1999-11-08,3.0625,3.1250,2.9062,2.9219,2.1309,19486400
1999-11-09,2.9062,2.9766,2.8125,2.9375,2.1423,35361600
1999-11-10,2.9375,3.0703,2.8125,2.8594,2.0853,25724000
1999-11-11,2.8750,2.9375,2.8047,2.9375,2.1423,35587200
1999-11-12,3.0312,3.0312,2.9062,2.9141,2.1252,25624000
1999-11-15,2.9844,3.1094,2.9844,3.0781,2.2449,20434400
1999-11-16,3.0781,3.2031,2.9766,3.0312,2.2107,44087200
1999-11-17,3.0000,3.0000,2.7500,2.8672,2.0910,30158400
1999-11-18,2.8984,2.9375,2.8594,2.9219,2.1309,20045600
1999-11-19,2.9219,2.9844,2.8750,2.9062,2.1195,19602400
1999-11-22,2.9219,2.9375,2.8750,2.9141,2.1252,22966400
1999-11-23,2.9141,2.9219,2.6562,2.7578,2.0113,54607200
1999-11-24,2.7266,3.0000,2.6875,2.9766,2.1708,25167200
1999-11-26,2.9766,3.0781,2.9766,3.0781,2.2449,7260800
1999-11-29,3.0781,3.1719,3.0781,3.1094,2.2677,16856000
1999-11-30,3.1094,3.3281,3.1094,3.2734,2.3873,22449600
1999-12-01,3.1875,3.2266,2.9766,2.9844,2.1765,27072800
1999-12-02,2.5000,2.6562,2.3750,2.5781,1.8802,137053600
1999-12-03,2.5625,2.5781,2.3984,2.4688,1.8005,84529600
1999-12-06,2.3750,2.5156,2.3750,2.4922,1.8175,28128800
1999-12-07,2.4922,2.4922,2.4062,2.4453,1.7834,38325600
1999-12-08,2.4219,2.4453,2.3594,2.3906,1.7435,21135200
1999-12-09,2.3828,2.4141,2.3750,2.3750,1.7321,15573600
1999-12-10,2.3906,2.4609,2.3828,2.4141,1.7606,9565600
1999-12-13,2.4531,2.5000,2.4219,2.5000,1.8232,17918400
1999-12-14,2.5312,2.6328,2.5000,2.5469,1.8574,20600000
1999-12-15,2.5156,2.5938,2.4844,2.5625,1.8688,15384800
1999-12-16,2.5391,2.5547,2.4375,2.4375,1.7777,18852800
1999-12-17,2.4375,2.4531,2.4141,2.4297,1.7720,20062400
1999-12-20,2.4219,2.4297,2.2500,2.2734,1.6580,27820000
1999-12-21,2.2734,2.3281,2.1328,2.1719,1.5839,41456000
1999-12-22,2.1406,2.3750,2.0625,2.3281,1.6979,57432000
1999-12-23,2.2656,2.4453,2.2656,2.4297,1.7720,17885600
1999-12-27,2.4609,2.5234,2.4531,2.4922,1.8175,19408800
1999-12-28,2.4922,2.5312,2.4688,2.4688,1.8005,10128000
1999-12-29,2.5156,2.5156,2.4688,2.4844,1.8118,8956800
1999-12-30,2.5000,2.5391,2.4844,2.5312,1.8460,6594400
1999-12-31,2.5156,2.5859,2.5000,2.5547,1.8631,3789600
2000-01-03,2.5469,2.5625,2.4766,2.5391,1.8517,14484000
2000-01-04,2.5078,2.5312,2.3281,2.4062,1.7549,18216800
2000-01-05,2.4062,2.4297,2.3359,2.3359,1.7036,24022400
2000-01-06,2.5000,2.5938,2.4609,2.4766,1.8062,26992000
2000-01-07,2.4844,2.6016,2.4375,2.5391,1.8517,17420000
2000-01-10,2.5234,2.5391,2.4922,2.5000,1.8232,15232800
2000-01-11,2.5000,2.5234,2.4531,2.4609,1.7948,19578400
2000-01-12,2.4609,2.4688,2.4375,2.4375,1.7777,16377600
2000-01-13,2.4375,2.4609,2.3828,2.4375,1.7777,18737600
2000-01-14,2.4297,2.4922,2.4219,2.4609,1.7948,9264800
2000-01-18,2.4297,2.4453,2.3672,2.3828,1.7378,7888000
2000-01-19,2.4141,2.4219,2.2969,2.3047,1.6808,14485600
2000-01-20,2.3594,2.3750,2.2734,2.3125,1.6865,9239200
2000-01-21,2.2812,2.2891,2.1094,2.1562,1.5725,43389600
2000-01-24,2.0938,2.1484,2.0625,2.0781,1.5156,28382400
2000-01-25,2.0781,2.1484,2.0703,2.1250,1.5498,13167200
2000-01-26,2.1016,2.1875,2.1016,2.1719,1.5839,16465600
2000-01-27,2.1641,2.2266,2.1094,2.1406,1.5612,12228800
2000-01-28,2.1094,2.1172,2.0312,2.0391,1.4871,13932000
2000-01-31,2.0469,2.0625,2.0078,2.0391,1.4871,11296800
2000-02-01,2.0078,2.0859,2.0078,2.0781,1.5156,10495200
2000-02-02,2.0859,2.2188,2.0078,2.1875,1.5953,11921600
2000-02-03,2.1562,2.3203,2.1250,2.2734,1.6580,22321600
2000-02-04,2.2734,2.3281,2.1562,2.2891,1.6694,21488800
2000-02-07,2.2344,2.2422,2.1172,2.1484,1.5669,17973600
2000-02-08,2.1719,2.2188,2.1719,2.1953,1.6043,13179200
2000-02-09,2.1875,2.1875,2.1250,2.1328,1.5586,9064800
2000-02-10,2.1250,2.1875,2.0469,2.1562,1.5758,9249600
2000-02-11,2.1719,2.1719,2.0469,2.0938,1.5301,9435200
2000-02-14,2.1016,2.1094,2.0391,2.0859,1.5244,6545600
2000-02-15,2.0859,2.0859,2.0156,2.0391,1.4901,9323200
2000-02-16,2.0469,2.0469,1.9375,1.9531,1.4273,13372000
2000-02-17,1.9453,2.0234,1.8750,1.8984,1.3874,15456000
2000-02-18,1.9219,1.9531,1.8750,1.8906,1.3816,13061600
2000-02-22,1.9219,1.9219,1.8438,1.8594,1.3588,8357600
2000-02-23,1.8750,1.8984,1.8359,1.8359,1.3417,6146400
2000-02-24,1.8125,1.8281,1.7422,1.7812,1.3017,10845600
2000-02-25,1.7812,1.8438,1.7422,1.7656,1.2903,13180800
2000-02-28,1.7656,1.8750,1.7656,1.8750,1.3702,24096000
2000-02-29,1.8906,2.0312,1.8906,1.9922,1.4559,26546400
2000-03-01,2.0234,2.0781,1.9531,2.0625,1.5072,27174400
2000-03-02,2.0703,2.1641,2.0625,2.0938,1.5301,15819200
2000-03-03,2.0312,2.1562,1.9453,2.1172,1.5472,11916000
2000-03-06,2.0938,2.0938,2.0156,2.0469,1.4958,7564000
2000-03-07,2.0312,2.0391,1.9375,1.9531,1.4273,8252000
2000-03-08,1.8750,1.9688,1.8516,1.9688,1.4387,17496800
2000-03-09,1.9375,1.9609,1.9062,1.9531,1.4273,25407200
2000-03-10,1.9141,1.9375,1.8984,1.9062,1.3931,16752800
2000-03-13,1.8906,1.8906,1.8125,1.8750,1.3702,18860000
2000-03-14,1.8672,1.9219,1.8438,1.8906,1.3816,15794400
2000-03-15,1.8594,2.1484,1.8438,2.1250,1.5529,27708800
2000-03-16,2.2188,2.6250,2.1953,2.5000,1.8270,50528800
2000-03-17,2.5156,2.5234,2.3750,2.3750,1.7356,31469600
2000-03-20,2.4062,2.4688,2.3750,2.4609,1.7984,13784800
2000-03-21,2.4922,2.5312,2.4609,2.5000,1.8270,29170400
2000-03-22,2.4922,2.5000,2.4375,2.4922,1.8213,20886400
2000-03-23,2.4922,2.5000,2.4453,2.4922,1.8213,12995200
2000-03-24,2.5000,2.6172,2.4844,2.6094,1.9069,19417600
2000-03-27,2.5859,2.6328,2.5625,2.5859,1.8898,18944000
2000-03-28,2.6172,2.8047,2.6016,2.6328,1.9240,20434400
2000-03-29,2.6562,2.6719,2.5781,2.6406,1.9297,21820800
2000-03-30,2.6328,3.0000,2.6328,2.8672,2.0953,36228800
2000-03-31,2.8906,3.0703,2.7656,2.7734,2.0268,44549600
