Date,PER,PBR
2015-03-31,18.9780,9.5817
2015-04-01,18.6799,9.4312
2015-04-02,18.7802,9.4818
2015-04-06,18.7747,9.4791
2015-04-07,18.5987,9.3902
2015-04-08,18.7829,9.4832
2015-04-09,18.5932,9.3874
2015-04-10,18.5662,9.3738
2015-04-13,18.4605,9.3204
2015-04-14,18.2275,9.2028
2015-04-15,18.0812,9.1289
2015-04-16,18.0107,9.0933
2015-04-17,17.6775,8.9251
2015-04-20,17.8726,9.0236
2015-04-21,17.9593,9.0674
2015-04-22,17.9918,9.0838
2015-04-23,17.9701,9.0728
2015-04-24,17.9593,9.0674
2015-04-27,17.6938,8.9333
2015-04-28,17.5881,8.8800
2015-04-29,17.4012,8.7856
2015-04-30,17.4852,8.8280
2015-05-01,17.7588,8.9661
2015-05-04,17.7561,8.9648
2015-05-05,17.7805,8.9771
2015-05-06,17.8374,9.0058
2015-05-07,17.9322,9.0537
2015-05-08,18.2383,9.2083
2015-05-11,18.1083,9.1426
2015-05-12,18.0430,9.1096
2015-05-13,17.9017,9.0383
2015-05-14,17.8447,9.0095
2015-05-15,17.9235,9.0493
2015-05-18,18.2795,9.2290
2015-05-19,18.8040,9.4938
2015-05-20,18.6057,9.3937
2015-05-21,18.4453,9.3127
2015-05-22,18.2523,9.2153
2015-05-26,17.9833,9.0795
2015-05-27,18.0730,9.1247
2015-05-28,17.9289,9.0520
2015-05-29,17.2234,8.7405
2015-06-01,17.4134,8.8369
2015-06-02,17.3599,8.8098
2015-06-03,17.6621,8.9632
2015-06-04,17.5525,8.9075
2015-06-05,17.5578,8.9102
2015-06-08,17.4588,8.8600
2015-06-09,17.3090,8.7840
2015-06-10,17.5284,8.8953
2015-06-11,17.5311,8.8966
2015-06-12,17.4883,8.8749
2015-06-15,17.4080,8.8342
2015-06-16,17.4856,8.8736
2015-06-17,17.5792,8.9211
2015-06-18,17.9671,9.1179
2015-06-19,17.8254,9.0460
2015-06-22,17.8012,9.0338
2015-06-23,18.0607,9.1655
2015-06-24,18.0795,9.1750
2015-06-25,18.0019,9.1356
2015-06-26,18.1972,9.2347
2015-06-29,17.6782,8.9713
2015-06-30,17.7023,8.9836
2015-07-01,18.0367,9.1532
2015-07-02,17.8708,9.0691
2015-07-06,17.9002,9.0840
2015-07-07,18.2508,9.2619
2015-07-08,18.0287,9.1492
2015-07-09,18.1036,9.1872
2015-07-10,18.2266,9.2496
2015-07-13,18.5022,9.3895
2015-07-14,18.4942,9.3854
2015-07-15,18.3845,9.3297
2015-07-16,18.5584,9.4180
2015-07-17,18.3898,9.3324
2015-07-20,18.4861,9.3813
2015-07-21,18.3336,9.3039
2015-07-22,18.3551,9.3148
2015-07-23,18.2561,9.2646
2015-07-24,18.0421,9.1560
2015-07-27,18.0153,9.1424
2015-07-28,18.1544,9.2130
2015-07-29,18.5824,9.4302
2015-07-30,18.6252,9.4519
2015-07-31,18.6787,9.4791
2015-08-03,18.5557,9.4166
2015-08-04,18.6092,9.4438
2015-08-05,18.7751,9.5279
2015-08-06,18.5905,9.4343
2015-08-07,18.6279,9.4533
2015-08-10,18.7724,9.5266
2015-08-11,18.7751,9.5279
2015-08-12,18.8019,9.5416
2015-08-13,18.9361,9.6097
2015-08-14,18.9441,9.6137
2015-08-17,19.2151,9.7513
2015-08-18,20.6024,10.4553
2015-08-19,20.0899,10.1952
2015-08-20,19.9450,10.1217
2015-08-21,19.1991,9.7431
2015-08-24,18.6302,9.4544
2015-08-25,18.4746,9.3755
2015-08-26,19.0004,9.6423
2015-08-27,19.1695,9.7281
2015-08-28,18.5701,9.5767
2015-08-31,18.4651,9.5225
2015-09-01,18.2209,9.3966
2015-09-02,18.6016,9.5929
2015-09-03,18.7591,9.6742
2015-09-04,18.5806,9.5821
2015-09-08,18.9955,9.7961
2015-09-09,18.6594,9.6228
2015-09-10,18.7723,9.6810
2015-09-11,18.8537,9.7230
2015-09-14,18.6988,9.6431
2015-09-15,18.6358,9.6106
2015-09-16,18.7933,9.6918
2015-09-17,19.0480,9.8232
2015-09-18,18.7382,9.6634
2015-09-21,18.8983,9.7460
2015-09-22,18.7014,9.6444
2015-09-23,18.6856,9.6363
2015-09-24,18.7040,9.6458
2015-09-25,18.6331,9.6092
2015-09-28,18.1421,9.3560
2015-09-29,18.2445,9.4088
2015-09-30,18.7539,9.6715
2015-10-01,18.5911,9.5876
2015-10-02,18.7434,9.6661
2015-10-05,18.7828,9.6864
2015-10-06,18.5832,9.5835
2015-10-07,18.8799,9.7365
2015-10-08,18.9666,9.7812
2015-10-09,19.1110,9.8557
2015-10-12,19.3211,9.9640
2015-10-13,19.1006,9.8503
2015-10-14,18.8458,9.7189
2015-10-15,18.8353,9.7135
2015-10-16,19.0191,9.8083
2015-10-19,19.1478,9.8746
2015-10-20,19.1714,9.8868
2015-10-21,19.0139,9.8056
2015-10-22,19.4051,10.0073
2015-10-23,18.8432,9.7175
2015-10-26,19.0218,9.8096
2015-10-27,18.8642,9.7284
2015-10-28,19.2292,9.9166
2015-10-29,19.1898,9.8963
2015-10-30,19.2187,9.9112
2015-11-02,19.2266,9.9153
2015-11-03,19.4918,10.0520
2015-11-04,19.3473,9.9775
2015-11-05,19.5154,10.0642
2015-11-06,19.1504,9.8760
2015-11-09,18.7159,9.6519
2015-11-10,18.9134,9.7537
2015-11-11,18.1919,9.3817
2015-11-12,17.9733,9.2689
2015-11-13,16.9094,8.7203
2015-11-16,17.2886,8.9158
2015-11-17,17.9548,9.2594
2015-11-18,17.9969,9.2811
2015-11-19,17.8284,9.1942
2015-11-20,18.4736,9.5270
2015-11-23,18.5895,9.5867
2015-11-24,18.5737,9.5786
2015-11-25,18.8686,9.7307
2015-11-27,18.7870,9.6886
2015-11-30,18.5921,9.5881
2015-12-01,18.5827,9.3803
2015-12-02,18.5696,9.3737
2015-12-03,18.3359,9.2557
2015-12-04,18.6379,9.4081
2015-12-07,18.6352,9.4068
2015-12-08,18.7271,9.4532
2015-12-09,18.5905,9.3843
2015-12-10,18.7665,9.4731
2015-12-11,18.5249,9.3511
2015-12-14,18.6221,9.4002
2015-12-15,18.4960,9.3366
2015-12-16,18.8636,9.5221
2015-12-17,18.5486,9.3631
2015-12-18,18.1994,9.1868
2015-12-21,18.2755,9.2253
2015-12-22,18.4829,9.3299
2015-12-23,18.7192,9.4492
2015-12-24,18.6116,9.3949
2015-12-28,18.5538,9.3657
2015-12-29,18.8400,9.5102
2015-12-30,18.7350,9.4572
2015-12-31,18.6168,9.3975
2016-01-04,18.5959,9.3869
2016-01-05,18.8873,9.5340
2016-01-06,18.4015,9.2888
2016-01-07,18.3753,9.2756
2016-01-08,17.5719,8.8701
2016-01-11,17.8004,8.9854
2016-01-12,18.0944,9.1338
2016-01-13,17.7715,8.9708
2016-01-14,17.9762,9.0742
2016-01-15,17.7242,8.9469
2016-01-19,17.8896,9.0304
2016-01-20,17.7084,8.9390
2016-01-21,17.8135,8.9920
2016-01-22,18.1023,9.1378
2016-01-25,18.0524,9.1126
2016-01-26,18.2965,9.2358
2016-01-27,18.1652,9.1696
2016-01-28,18.2178,9.1961
2016-01-29,18.7035,9.4413
2016-02-01,18.9582,9.5698
2016-02-02,19.1262,9.6546
2016-02-03,18.8977,9.5393
2016-02-04,18.5774,9.3776
2016-02-05,17.8423,9.0066
2016-02-08,17.8581,9.0145
2016-02-09,18.3427,9.2591
2016-02-10,18.2716,9.2233
2016-02-11,17.8845,9.0278
2016-02-12,18.4006,9.2884
2016-02-16,18.7956,9.4878
2016-02-17,18.9062,9.5436
2016-02-18,18.8588,9.5197
2016-02-19,18.8535,9.5170
2016-02-22,19.2328,9.7085
2016-02-23,19.1433,9.6633
2016-02-24,19.5515,9.8693
2016-02-25,19.7727,9.9810
2016-02-26,19.9201,10.0554
2016-02-29,19.5146,9.8507
2016-03-01,19.8754,10.0328
2016-03-02,19.8675,10.0289
2016-03-03,19.8095,9.9996
2016-03-04,19.8570,10.0235
