Date,PER,PBR
2020-10-26,775.4242,24.8508
2020-10-27,783.5424,25.1110
2020-10-28,749.1144,24.0077
2020-10-29,757.9887,24.2921
2020-10-30,715.9411,22.9445
2020-11-02,738.9482,23.6818
2020-11-03,782.1033,25.0649
2020-11-04,776.7161,24.8922
2020-11-05,808.2841,25.9039
2020-11-06,793.2659,25.4226
2020-11-09,777.2325,24.9088
2020-11-10,757.1220,24.2643
2020-11-11,769.6124,24.6646
2020-11-12,759.7046,24.3470
2020-11-13,753.6902,24.1543
2020-11-16,752.9336,24.1300
2020-11-17,814.7784,26.1121
2020-11-18,897.8596,28.7746
2020-11-19,921.1622,29.5214
2020-11-20,903.3393,28.9503
2020-11-23,962.8229,30.8566
2020-11-24,1024.6865,32.8392
2020-11-25,1059.0404,33.9402
2020-11-27,1080.7378,34.6355
2020-11-30,1047.2325,33.5618
2020-12-01,1078.8930,34.5764
2020-12-02,1049.4836,33.6339
2020-12-03,1094.7969,35.0861
2020-12-04,1105.2399,35.4208
2020-12-07,1184.0590,37.9468
2020-12-08,1199.0408,38.4269
2020-12-09,1115.2766,35.7424
2020-12-10,1156.9555,37.0782
2020-12-11,1125.4428,36.0682
2020-12-14,1180.4983,37.8327
2020-12-15,1168.3577,37.4436
2020-12-16,1149.0221,36.8239
2020-12-17,1210.1474,38.7829
2020-12-18,1282.2880,41.0948
2020-12-21,1199.0037,38.4257
2020-12-22,1181.4393,37.8628
2020-12-23,1191.8452,38.1963
2020-12-24,1220.9779,39.1300
2020-12-28,1224.5203,39.2435
2020-12-29,1228.7640,39.3795
2020-12-30,1281.8817,41.0818
2020-12-31,1301.9740,41.7257
2021-01-04,1346.4393,43.1507
2021-01-05,1356.2917,43.4665
2021-01-06,1394.7969,44.7005
2021-01-07,1505.6087,48.2518
2021-01-08,1623.6531,52.0349
2021-01-11,1496.6607,47.9650
2021-01-12,1567.2327,50.2267
2021-01-13,1576.4020,50.5206
2021-01-14,1559.0408,49.9642
2021-01-15,1524.2806,48.8502
2021-01-19,1558.2105,49.9376
2021-01-20,1569.0958,50.2865
2021-01-21,1559.0220,49.9636
2021-01-22,1562.0662,50.0612
2021-01-25,1625.0923,52.0810
2021-01-26,1629.3172,52.2164
2021-01-27,1594.3910,51.0971
2021-01-28,1541.3839,49.3983
2021-01-29,1464.0775,46.9208
2021-02-01,1549.4651,49.6573
2021-02-02,1610.3137,51.6074
2021-02-03,1576.9190,50.5372
2021-02-04,1568.2472,50.2593
2021-02-05,1572.3803,50.3917
2021-02-08,1349.0939,37.2894
2021-02-09,1327.2811,36.6865
2021-02-10,1257.5311,34.7586
2021-02-11,1268.2186,35.0540
2021-02-12,1275.1875,35.2466
2021-02-16,1244.0939,34.3872
2021-02-17,1247.1094,34.4705
2021-02-18,1230.2812,34.0054
2021-02-19,1220.7811,33.7428
2021-02-22,1116.4064,30.8578
2021-02-23,1091.9377,30.1815
2021-02-24,1159.4062,32.0464
2021-02-25,1065.9689,29.4637
2021-02-26,1055.4689,29.1735
2021-03-01,1122.5470,31.0276
2021-03-02,1072.5623,29.6460
2021-03-03,1020.6248,28.2104
2021-03-04,971.0002,26.8388
2021-03-05,934.2970,25.8243
2021-03-08,879.6877,24.3149
2021-03-09,1052.4689,29.0906
2021-03-10,1043.8439,28.8522
2021-03-11,1093.1250,30.2143
2021-03-12,1083.9530,29.9608
2021-03-15,1106.1562,30.5745
2021-03-16,1057.6252,29.2331
2021-03-17,1096.5783,30.3098
2021-03-18,1020.5625,28.2087
2021-03-19,1023.2344,28.2825
2021-03-22,1046.8748,28.9360
2021-03-23,1034.6250,28.5974
2021-03-24,984.7969,27.2201
2021-03-25,1000.6092,27.6572
2021-03-26,966.7345,26.7209
2021-03-29,955.1405,26.4004
2021-03-30,993.1561,27.4512
2021-03-31,1043.6405,28.8466
2021-04-01,1033.9842,28.5797
2021-04-05,1079.7656,29.8451
2021-04-06,1080.6562,29.8697
2021-04-07,1048.3908,28.9779
2021-04-08,1068.4373,29.5320
2021-04-09,1057.8436,29.2391
2021-04-12,1096.8436,30.3171
2021-04-13,1191.1252,32.9231
2021-04-14,1144.1095,31.6236
2021-04-15,1154.4530,31.9095
2021-04-16,1155.9061,31.9496
2021-04-19,1116.6094,30.8634
2021-04-20,1123.4217,31.0517
2021-04-21,1162.6875,32.1371
2021-04-22,1124.5158,31.0820
2021-04-23,1139.6873,31.5013
2021-04-26,1153.4377,31.8814
2021-04-27,1101.1561,30.4363
2021-04-28,894.8455,29.0627
2021-04-29,872.4228,28.3345
2021-04-30,914.2268,29.6922
2021-05-03,882.6031,28.6651
2021-05-04,868.0411,28.1922
2021-05-05,864.6135,28.0809
2021-05-06,855.0773,27.7711
2021-05-07,866.4561,28.1407
2021-05-10,810.6186,26.3272
2021-05-11,795.3607,25.8317
2021-05-12,760.1675,24.6887
2021-05-13,736.7138,23.9269
2021-05-14,759.9742,24.6824
2021-05-17,743.3378,24.1421
2021-05-18,744.6777,24.1856
2021-05-19,726.1082,23.5825
2021-05-20,756.1597,24.5585
2021-05-21,748.5568,24.3116
2021-05-24,781.4950,25.3813
2021-05-25,779.2396,25.3081
2021-05-26,797.8481,25.9125
2021-05-27,812.9509,26.4030
2021-05-28,805.6960,26.1673
2021-06-01,803.9950,26.1121
2021-06-02,779.7939,25.3261
2021-06-03,738.1960,23.9751
2021-06-04,771.9715,25.0720
2021-06-07,779.8067,25.3265
2021-06-08,777.8223,25.2621
2021-06-09,771.6236,25.0607
2021-06-10,786.2370,25.5353
2021-06-11,785.9409,25.5257
2021-06-14,795.9924,25.8522
2021-06-15,772.3713,25.0850
2021-06-16,779.4715,25.3156
2021-06-17,794.5875,25.8066
2021-06-18,803.2345,26.0874
2021-06-21,800.0385,25.9836
2021-06-22,803.7499,26.1041
2021-06-23,846.0955,27.4794
2021-06-24,876.0568,28.4525
2021-06-25,865.8120,28.1198
2021-06-28,887.5256,28.8250
2021-06-29,877.2680,28.4918
2021-06-30,875.9022,28.4475
2021-07-01,873.6081,28.3730
2021-07-02,874.8711,28.4140
2021-07-06,849.9742,27.6054
2021-07-07,830.7344,26.9805
2021-07-08,841.2499,27.3221
2021-07-09,846.5849,27.4953
2021-07-12,883.6341,28.6986
2021-07-13,861.5207,27.9804
2021-07-14,841.9844,27.3459
2021-07-15,838.4022,27.2296
2021-07-16,830.1804,26.9625
2021-07-19,832.7579,27.0462
2021-07-20,851.1599,27.6439
2021-07-21,844.4459,27.4259
2021-07-22,836.6753,27.1735
2021-07-23,829.0979,26.9274
2021-07-26,847.4486,27.5234
2021-07-27,362.2360,25.7354
2021-07-28,363.4719,25.8233
2021-07-29,380.5337,27.0354
2021-07-30,386.0675,27.4286
2021-08-02,398.6911,28.3254
2021-08-03,398.7303,28.3282
2021-08-04,399.3932,28.3753
2021-08-05,401.4775,28.5234
2021-08-06,392.7528,27.9035
2021-08-09,400.9888,28.4887
2021-08-10,398.8707,28.3382
2021-08-11,397.6517,28.2516
2021-08-12,405.7584,28.8275
2021-08-13,402.9046,28.6248
2021-08-16,385.4887,27.3875
2021-08-17,373.9943,26.5708
2021-08-18,387.0730,27.5000
2021-08-19,378.3539,26.8806
2021-08-20,382.1685,27.1516
2021-08-23,396.7977,28.1909
2021-08-24,398.0280,28.2783
2021-08-25,399.5506,28.3865
2021-08-26,393.9101,27.9858
2021-08-27,399.9551,28.4152
2021-08-30,410.6237,29.1732
2021-08-31,413.3258,29.3652
2021-09-01,412.4102,29.3001
2021-09-02,411.4551,29.2323
2021-09-03,412.1179,29.2794
2021-09-07,422.9887,30.0517
2021-09-08,423.5225,30.0896
2021-09-09,424.0787,30.1291
2021-09-10,413.6348,29.3871
2021-09-13,417.4158,29.6558
2021-09-14,418.2528,29.7152
2021-09-15,424.6235,30.1678
2021-09-16,425.2753,30.2141
2021-09-17,426.6797,30.3139
2021-09-20,410.2079,29.1437
2021-09-21,415.3820,29.5113
2021-09-22,422.4383,30.0126
2021-09-23,423.3932,30.0804
2021-09-24,435.0506,30.9086
2021-09-27,444.5843,31.5860
2021-09-28,436.8315,31.0352
2021-09-29,438.9383,31.1848
2021-09-30,435.6629,30.9521
2021-10-01,435.5169,30.9418
2021-10-04,439.0618,31.1936
2021-10-05,438.5338,31.1561
2021-10-06,439.7472,31.2423
2021-10-07,445.8484,31.6758
2021-10-08,441.2865,31.3517
2021-10-11,444.9101,31.6091
2021-10-12,452.6516,32.1591
2021-10-13,455.6629,32.3731
