Date,PER,PBR
2010-03-30,10.8520,2.1334
2010-03-31,10.7918,2.1215
2010-04-01,10.7705,2.1173
2010-04-05,10.7705,2.1173
2010-04-06,10.7783,2.1189
2010-04-07,10.7297,2.1093
2010-04-08,10.7491,2.1131
2010-04-09,10.6889,2.1013
2010-04-12,10.6793,2.0994
2010-04-13,10.6211,2.0880
2010-04-14,10.6055,2.0849
2010-04-15,10.5065,2.0654
2010-04-16,10.5026,2.0647
2010-04-19,10.5570,2.0754
2010-04-20,10.5822,2.0803
2010-04-21,10.5725,2.0784
2010-04-22,10.5764,2.0792
2010-04-23,10.5842,2.0807
2010-04-26,10.4891,2.0620
2010-04-27,10.4891,2.0620
2010-04-28,10.4055,2.0456
2010-04-29,10.4231,2.0490
2010-04-30,10.4114,2.0467
2010-05-03,10.4308,2.0506
2010-05-04,10.4852,2.0612
2010-05-05,10.6307,2.0899
2010-05-06,10.3318,2.0311
2010-05-07,10.1707,1.9994
2010-05-10,10.2057,2.0063
2010-05-11,10.1823,2.0017
2010-05-12,10.2454,2.0141
2010-05-13,10.2298,2.0110
2010-05-14,10.1751,2.0003
2010-05-17,10.2942,2.0237
2010-05-18,10.4856,2.0613
2010-05-19,10.3547,2.0356
2010-05-20,10.0151,1.9688
2010-05-21,10.0287,1.9715
2010-05-24,9.9565,1.9573
2010-05-25,9.8159,1.9297
2010-05-26,9.7652,1.9197
2010-05-27,9.8979,1.9458
2010-05-28,9.8706,1.9404
2010-06-01,9.9409,1.9542
2010-06-02,10.0970,1.9849
2010-06-03,10.0970,1.9849
2010-06-04,11.0655,2.0361
2010-06-07,11.1402,2.0498
2010-06-08,11.1490,2.0514
2010-06-09,11.1950,2.0599
2010-06-10,11.2455,2.0692
2010-06-11,11.1665,2.0547
2010-06-14,11.2499,2.0700
2010-06-15,11.3378,2.0862
2010-06-16,11.1928,2.0595
2010-06-17,11.2873,2.0769
2010-06-18,11.3180,2.0826
2010-06-21,11.2017,2.0611
2010-06-22,11.1270,2.0474
