Date,Open,High,Low,Close,AdjClose,Volume
2020-09-30,10.0000,11.4100,9.1100,9.5000,9.5000,338584400
2020-10-01,9.6900,10.1000,9.2300,9.4600,9.4600,124297600
2020-10-02,9.0600,9.2800,8.9400,9.2000,9.2000,55018300
2020-10-05,9.4300,9.4900,8.9200,9.0300,9.0300,36316900
2020-10-06,9.0400,10.1800,8.9000,9.9000,9.9000,90864000
2020-10-07,10.0400,10.4900,9.9900,10.0000,10.0000,54672400
2020-10-08,10.2900,10.4000,9.9900,10.0000,10.0000,34989200
2020-10-09,10.1300,10.1900,9.8900,9.9500,9.9500,19653500
2020-10-12,10.0400,10.0500,9.6600,9.8900,9.8900,20623600
2020-10-13,9.8800,9.8800,9.4100,9.4700,9.4700,21847200
2020-10-14,9.6000,9.6600,9.2900,9.3400,9.3400,13652600
2020-10-15,9.2700,9.9100,9.1800,9.9100,9.9100,12924100
2020-10-16,9.9400,9.9500,9.6600,9.7100,9.7100,11142500
2020-10-19,9.7900,9.8200,9.5300,9.5700,9.5700,9126400
2020-10-20,9.6000,9.6600,9.2700,9.2700,9.2700,11138200
2020-10-21,9.3000,9.4800,9.2000,9.2000,9.2000,9190000
2020-10-22,9.3700,9.7500,9.2200,9.6800,9.6800,17928600
2020-10-23,9.7100,9.8300,9.4700,9.4900,9.4900,12618000
2020-10-26,9.7200,9.9700,9.6000,9.9500,9.9500,23767300
2020-10-27,10.0000,11.0400,9.9200,10.9500,10.9500,53695900
2020-10-28,10.6600,10.9850,10.1000,10.8500,10.8500,30941700
2020-10-29,10.9000,11.1000,10.5600,10.7500,10.7500,20515700
2020-10-30,10.6100,10.6800,9.8500,10.1300,10.1300,19705500
2020-11-02,10.2300,10.5700,10.2300,10.5400,10.5400,11677800
2020-11-03,10.5700,10.9400,10.4400,10.5000,10.5000,21652800
2020-11-04,10.8200,10.9200,10.5500,10.7200,10.7200,15783400
2020-11-05,10.9000,12.1300,10.8500,11.8800,11.8800,48560400
2020-11-06,12.2200,14.9600,12.0500,13.8300,13.8300,89977600
2020-11-09,14.9600,15.9000,14.1100,14.6700,14.6700,60099000
2020-11-10,14.9900,15.0100,13.1800,14.0000,14.0000,38078700
2020-11-11,14.5700,15.9700,14.4000,15.9600,15.9600,47027900
