Date,Open,High,Low,Close,AdjClose,Volume
2006-06-21,1.1402,1.1406,1.1273,1.1289,0.9827,1523200
2006-06-22,1.1250,1.1270,1.0903,1.1023,0.9596,13612800
2006-06-23,1.0977,1.1181,1.0856,1.0991,0.9567,3411200
2006-06-26,1.1016,1.1094,1.0938,1.1031,0.9603,3622400
2006-06-27,1.1047,1.1047,1.0619,1.0619,0.9244,6393600
2006-06-28,1.0664,1.0772,1.0534,1.0748,0.9357,6374400
2006-06-29,1.0883,1.1398,1.0833,1.1398,0.9922,11289600
2006-06-30,1.1484,1.1484,1.1278,1.1289,0.9827,15168000
2006-07-03,1.1375,1.1430,1.1353,1.1420,0.9941,2380800
2006-07-05,1.1211,1.1216,1.0939,1.0970,0.9550,9900800
2006-07-06,1.1023,1.1109,1.0867,1.0906,0.9494,5369600
2006-07-07,1.0711,1.0922,1.0602,1.0667,0.9286,4588800
2006-07-10,1.0766,1.0808,1.0397,1.0491,0.9132,7987200
2006-07-11,1.0412,1.0692,1.0338,1.0662,0.9282,10604800
2006-07-12,1.0597,1.0625,1.0187,1.0241,0.8915,14598400
2006-07-13,1.0289,1.0289,0.9891,0.9914,0.8630,26745600
2006-07-14,0.9875,0.9898,0.9609,0.9711,0.8453,13856000
2006-07-17,0.9789,0.9844,0.9631,0.9758,0.8494,9868800
2006-07-18,0.9844,0.9875,0.9484,0.9812,0.8542,26054400
2006-07-19,0.9789,1.0167,0.9783,1.0025,0.8727,16940800
2006-07-20,1.0141,1.0141,0.9742,0.9752,0.8489,12019200
2006-07-21,0.9583,0.9688,0.9519,0.9531,0.8297,18630400
2006-07-24,0.9608,0.9916,0.9608,0.9883,0.8603,15334400
2006-07-25,0.9930,1.0094,0.9808,0.9980,0.8687,21683200
2006-07-26,0.9937,1.0155,0.9812,1.0000,0.8705,23500800
2006-07-27,1.0211,1.0234,0.9812,0.9898,0.8617,12038400
2006-07-28,1.0008,1.0294,0.9945,1.0294,0.8961,6752000
2006-07-31,1.0219,1.0383,1.0148,1.0273,0.8943,9958400
2006-08-01,1.0086,1.0086,0.9812,0.9922,0.8637,15609600
2006-08-02,1.0039,1.0266,1.0016,1.0105,0.8796,13939200
2006-08-03,0.9930,1.0375,0.9922,1.0273,0.8943,19961600
2006-08-04,1.0464,1.0547,0.9986,1.0180,0.8861,18816000
2006-08-07,1.0109,1.0148,0.9961,1.0056,0.8754,17017600
2006-08-08,1.0094,1.0156,0.9828,0.9930,0.8644,28838400
2006-08-09,1.0064,1.0344,0.9891,0.9925,0.8640,28825600
2006-08-10,0.9933,1.0128,0.9828,1.0052,0.8750,23283200
2006-08-11,0.9953,1.0008,0.9852,0.9953,0.8664,13305600
2006-08-14,1.0077,1.0312,1.0019,1.0044,0.8743,19321600
2006-08-15,1.0373,1.0703,1.0233,1.0567,0.9199,22054400
2006-08-16,1.0703,1.1081,1.0641,1.1070,0.9637,31040000
2006-08-17,1.1086,1.1297,1.1000,1.1141,0.9698,44345600
2006-08-18,1.1102,1.1178,1.0898,1.1125,0.9684,16934400
2006-08-21,1.0944,1.1030,1.0867,1.0922,0.9508,16275200
2006-08-22,1.1036,1.1169,1.0858,1.0950,0.9532,16268800
2006-08-23,1.0978,1.1087,1.0688,1.0766,0.9372,18598400
2006-08-24,1.0891,1.0898,1.0672,1.0848,0.9444,18432000
2006-08-25,1.0734,1.1061,1.0734,1.0891,0.9480,15257600
2006-08-28,1.0859,1.1109,1.0859,1.1047,0.9616,16588800
2006-08-29,1.1031,1.1133,1.0808,1.1117,0.9678,26617600
2006-08-30,1.1128,1.1227,1.1031,1.1216,0.9763,22585600
2006-08-31,1.1211,1.1272,1.1133,1.1203,0.9752,9395200
2006-09-01,1.1359,1.1367,1.1202,1.1305,0.9841,18496000
2006-09-05,1.1319,1.1527,1.1156,1.1508,1.0018,21452800
2006-09-06,1.1297,1.1356,1.1016,1.1059,0.9627,23398400
2006-09-07,1.1000,1.1177,1.0875,1.0961,0.9542,27027200
