Date,Open,High,Low,Close,AdjClose,Volume
1999-03-10,51.1250,51.1562,50.2812,51.0625,43.0743,5232000
1999-03-11,51.4375,51.7344,50.3125,51.3125,43.2852,9688600
1999-03-12,51.1250,51.1562,49.6562,50.0625,42.2308,8743600
1999-03-15,50.4375,51.5625,49.9062,51.5000,43.4434,6369000
1999-03-16,51.7188,52.1562,51.1562,51.9375,43.8124,4905800
1999-03-17,51.9375,52.0000,51.4062,51.5625,43.4961,3965000
1999-03-18,51.5000,52.5938,51.4844,52.5625,44.3397,4848400
1999-03-19,53.2500,53.2500,51.1875,51.2188,43.2062,7160400
1999-03-22,51.4375,51.5625,50.5000,50.5938,42.6789,5024800
1999-03-23,50.3125,50.5000,48.7188,48.8125,41.1763,10962400
1999-03-24,49.2500,50.5000,48.5000,50.4688,42.5735,8447000
1999-03-25,51.2500,52.3125,50.9141,52.3125,44.1288,8133800
1999-03-26,51.8750,52.4688,51.5312,51.7500,43.6543,8256200
1999-03-29,52.3750,53.6562,52.0625,53.6250,45.2360,5113800
1999-03-30,53.5625,54.0000,53.0312,53.2500,44.9196,4940600
1999-03-31,54.1250,54.1875,52.3125,52.4688,44.2606,8256600
1999-04-01,54.0000,54.0625,52.6875,53.5625,45.1832,8715800
1999-04-05,54.4297,55.5781,54.0938,55.5000,46.8176,5697200
1999-04-06,55.4375,56.2188,54.9688,55.6094,46.9099,7522400
1999-04-07,56.1250,56.2500,53.8438,55.0312,46.4222,11923600
1999-04-08,54.9375,55.7344,53.8125,55.4688,46.7913,7952400
1999-04-09,55.3750,55.9375,55.2188,55.8125,47.0813,4946800
1999-04-12,54.5000,55.8125,54.4375,55.4375,46.7649,10934000
1999-04-13,55.7812,55.9062,54.2500,54.6875,46.1323,9962200
1999-04-14,55.3750,55.4375,52.5078,52.8125,44.5506,21253800
1999-04-15,53.0000,53.6172,51.1250,53.5312,45.1569,17650600
1999-04-16,53.4062,53.4062,51.6875,51.9688,43.8388,17274000
1999-04-19,52.3125,52.7500,49.0078,49.5312,41.7826,19460600
1999-04-20,49.3125,51.0625,48.8438,50.6562,42.7316,17413600
1999-04-21,51.1250,53.1875,50.4375,53.1562,44.8405,10940400
1999-04-22,53.6562,54.7500,53.3047,54.5938,46.0532,13630600
1999-04-23,54.3125,55.7188,53.7500,55.3125,46.6595,7064400
1999-04-26,55.6875,57.0000,55.5078,56.5859,47.7337,5421000
1999-04-27,57.0000,57.2812,55.0078,55.7188,47.0022,16482800
1999-04-28,55.2500,55.4375,53.5703,53.8125,45.3941,7676800
1999-04-29,53.5625,53.8750,52.2500,53.3750,45.0251,19148200
1999-04-30,54.1250,54.4062,51.8125,53.7188,45.3151,15295200
1999-05-03,53.5625,53.7812,52.5391,53.4375,45.0778,11109800
1999-05-04,53.5312,54.3750,52.2812,52.5938,44.3660,15428400
1999-05-05,52.6250,54.1875,51.0312,54.1875,45.7105,12642600
1999-05-06,53.6875,54.1562,51.7188,52.2188,44.0497,15173400
1999-05-07,52.6875,53.1250,51.5625,52.9688,44.6824,16430400
1999-05-10,53.3125,53.8594,52.6875,53.5000,45.1305,10604200
1999-05-11,53.9375,54.6250,53.6250,54.3438,45.8423,8800800
1999-05-12,54.5938,55.6562,53.0000,55.4688,46.7913,12507400
1999-05-13,55.9062,56.0000,54.1875,54.4375,45.9214,9864000
1999-05-14,53.3750,54.0000,53.0000,53.4062,45.0514,12205400
1999-05-17,52.9375,54.5312,52.4141,54.3672,45.8620,9906800
1999-05-18,54.3125,54.6250,53.5000,54.1250,45.6577,9267800
1999-05-19,54.3438,54.9062,53.5000,54.8750,46.2904,7985600
1999-05-20,54.9922,54.9922,53.2812,53.3672,45.0185,5997200
1999-05-21,53.5312,53.6875,52.5938,52.8750,44.6033,10958600
1999-05-24,52.9688,53.0625,51.1875,51.5312,43.4698,9569800
1999-05-25,51.4688,52.2188,49.6250,49.8438,42.0463,17771200
1999-05-26,50.5000,51.4375,48.9375,51.2344,43.2193,26772000
1999-05-27,51.0312,51.9297,50.3750,51.1875,43.1798,23334800
1999-05-28,51.5000,52.3125,50.8438,52.0312,43.8915,12969800
1999-06-01,51.9375,52.1875,50.5938,50.8750,42.9162,6960200
1999-06-02,50.8438,52.0000,49.5703,51.7344,43.6411,11996600
1999-06-03,52.1250,52.1250,50.6875,51.0000,43.0216,11147800
1999-06-04,51.3750,52.7422,51.3750,52.5625,44.3397,12987200
1999-06-07,52.9297,53.9922,52.8125,53.6562,45.2623,11491800
1999-06-08,53.7812,54.0312,52.0391,52.3125,44.1288,8134800
1999-06-09,52.5000,53.3359,52.4688,53.1875,44.8669,8384400
1999-06-10,52.6250,52.9375,51.9453,52.5781,44.3529,9392400
1999-06-11,52.9375,52.9922,51.3125,51.7812,43.6807,16567600
1999-06-14,51.9688,51.9688,50.6875,50.8047,42.8569,14136800
1999-06-15,50.9297,51.8672,50.7812,51.5625,43.4961,9147800
1999-06-16,52.8438,54.2109,52.7812,54.2109,45.7303,15060200
1999-06-17,53.5000,55.0625,53.5000,54.8125,46.2377,16278200
1999-06-18,54.3125,55.2188,54.2188,55.0625,46.4486,5392800
1999-06-21,55.4375,56.7422,55.3438,56.7109,47.8391,10565200
1999-06-22,56.3750,57.0938,55.0000,55.0000,46.3959,10862800
1999-06-23,55.0078,56.0000,54.6562,55.8672,47.1274,9607000
1999-06-24,55.8438,55.8750,54.5000,54.7578,46.1916,14988800
1999-06-25,55.1250,55.5625,54.1875,54.6875,46.1323,8635600
1999-06-28,55.1562,56.0625,54.7031,55.9844,47.2262,7666200
1999-06-29,55.9375,56.9688,55.6562,56.7500,47.8721,9000400
1999-06-30,56.8047,59.9375,56.1328,57.6250,48.6102,19467600
1999-07-01,57.8125,58.3438,56.8125,58.0156,48.9397,6822600
1999-07-02,58.0000,58.8125,58.0000,58.7500,49.5592,3302000
1999-07-06,59.0625,59.6562,58.0625,58.3750,49.2429,8794800
1999-07-07,58.3438,58.7188,57.9375,58.4688,49.3219,10520000
1999-07-08,58.4688,59.4922,58.1875,59.2500,49.9810,11225000
1999-07-09,59.4688,59.9062,59.0312,59.8438,50.4818,4206800
1999-07-12,60.0625,60.3750,59.1875,59.5312,50.2183,7816200
1999-07-13,59.2500,59.4688,58.7812,59.2500,49.9810,6230000
1999-07-14,59.8438,60.3750,59.0000,60.2578,50.8312,6909400
1999-07-15,60.4688,60.8125,60.1328,60.8125,51.2990,6539800
1999-07-16,60.8438,61.7188,60.8203,61.3750,51.7736,4913800
1999-07-19,61.6250,61.6250,60.5078,60.7500,51.2464,6833000
1999-07-20,60.0078,60.0938,58.2500,58.4062,49.2693,14837400
1999-07-21,58.5312,59.1953,58.0625,58.6875,49.5065,10980400
1999-07-22,58.6875,58.6875,57.0312,57.1953,48.2477,15148400
1999-07-23,57.6250,57.8672,56.6875,57.2812,48.3202,12115000
1999-07-26,56.5000,57.1250,55.7812,55.8750,47.1340,10720000
1999-07-27,57.0000,57.8750,56.5156,57.0000,48.0830,13732800
1999-07-28,57.6875,58.4375,56.9453,58.1172,49.0254,10161800
1999-07-29,57.0312,57.5000,56.3125,56.8750,47.9775,13033800
1999-07-30,57.1250,57.7500,56.5078,56.5938,47.7403,10947400
1999-08-02,56.6875,57.8125,56.2188,56.4375,47.6085,9642400
1999-08-03,57.2109,57.2188,55.2500,56.0703,47.2987,13005000
1999-08-04,56.0703,56.4922,55.0078,55.0547,46.4420,13227600
1999-08-05,55.0625,55.9297,53.7500,55.9297,47.1801,18695200
1999-08-06,55.5312,56.5625,54.9375,55.3281,46.6727,12392200
1999-08-09,55.5312,55.6875,54.5078,54.6172,46.0729,7983400
1999-08-10,54.4688,54.8672,52.9375,54.1250,45.6577,16767200
1999-08-11,55.0938,56.0000,54.2656,55.9062,47.1603,13101400
1999-08-12,56.1250,56.5000,55.1250,55.2500,46.6068,12715000
1999-08-13,56.4062,57.7188,56.3125,57.6562,48.6366,14342600
1999-08-16,57.6250,58.3125,57.2500,58.1172,49.0254,11470600
1999-08-17,58.6250,58.6875,57.3438,58.4062,49.2693,11408400
1999-08-18,58.1250,58.8438,57.5312,57.7500,48.7157,7035200
1999-08-19,57.2188,57.6250,56.6953,57.0625,48.1357,10157800
1999-08-20,57.1250,57.9688,56.8125,57.9688,48.9002,6920800
1999-08-23,58.5000,59.8125,58.3672,59.8125,50.4555,9652000
1999-08-24,59.3750,60.8750,59.2578,60.2188,50.7982,13891400
1999-08-25,60.5938,61.7500,59.9375,61.5000,51.8790,11352000
1999-08-26,61.5000,61.7188,60.3828,60.4766,51.0157,9753000
1999-08-27,60.9297,60.9375,59.7188,59.8750,50.5082,9635400
1999-08-30,60.1250,60.3125,58.8750,59.0312,49.7965,10141600
1999-08-31,59.4375,60.0625,58.1250,59.6875,50.3501,14590400
1999-09-01,60.0625,60.6250,59.6875,60.1172,50.7125,10752000
1999-09-02,59.0000,60.2188,58.8750,59.9062,50.5346,14583200
1999-09-03,61.6250,62.6797,61.4062,62.6562,52.8544,14195400
1999-09-07,62.5312,63.1562,62.2812,62.3750,52.6171,9009000
1999-09-08,62.0000,62.6250,61.0312,61.5312,51.9054,14303400
1999-09-09,61.5625,62.5625,61.2500,62.4062,52.6435,12677600
1999-09-10,63.2500,63.7422,62.5312,63.1250,53.2498,10251000
1999-09-13,63.0625,63.1875,62.0312,62.3672,52.6105,7240800
1999-09-14,62.1250,63.1484,62.0000,62.7109,52.9005,10022600
1999-09-15,63.4922,63.4922,61.4375,61.5000,51.8790,16096000
1999-09-16,61.4688,62.0312,60.1953,61.4688,51.8526,15371000
1999-09-17,62.0312,63.4375,61.9375,63.3125,53.4080,14506400
1999-09-20,63.5000,63.7500,63.0312,63.4609,53.5332,6187200
1999-09-21,62.9062,63.0312,61.7578,61.9375,52.2481,12265800
1999-09-22,62.0312,62.9219,61.2812,62.5938,52.8016,12441800
1999-09-23,63.2500,63.3750,59.6328,60.0000,50.6137,19766000
1999-09-24,59.6250,60.3125,58.6250,60.0781,50.6796,23570800
1999-09-27,60.9375,61.3750,60.3125,60.5000,51.0355,12608800
1999-09-28,60.1953,61.0000,58.9062,60.7812,51.2727,20622000
1999-09-29,60.7812,61.2188,59.5625,59.5625,50.2446,15557000
1999-09-30,60.1250,60.8125,59.3750,60.1875,50.7718,17604200
1999-10-01,59.3750,60.2109,58.7500,60.2109,50.7916,19607400
1999-10-04,60.5312,61.7812,60.1875,61.5625,51.9317,12434200
1999-10-05,61.7812,62.7500,60.6875,62.0000,52.3008,19526400
1999-10-06,62.3750,63.3359,61.4297,63.2422,53.3486,19098200
1999-10-07,63.5938,63.8984,62.6250,63.0938,53.2234,22013600
1999-10-08,62.8438,63.9375,62.0000,63.7578,53.7836,22523200
1999-10-11,63.9375,64.6875,63.7812,64.6562,54.5415,13016000
1999-10-12,64.4375,64.9531,63.0000,63.1875,53.3025,20182800
1999-10-13,62.4688,63.2188,61.0625,61.3125,51.7209,22570600
1999-10-14,61.5312,62.1250,60.5312,61.6953,52.0438,22130400
1999-10-15,60.1250,61.0000,59.5078,59.8750,50.5082,33703000
1999-10-18,59.9375,60.1562,57.4141,59.1172,49.8690,24714800
1999-10-19,59.7578,60.0625,58.4375,59.4375,50.1392,26657200
1999-10-20,60.3438,61.7422,59.7500,61.2500,51.6681,22486400
1999-10-21,60.2500,62.2500,59.8125,62.2500,52.5117,22454800
1999-10-22,62.6172,63.2500,61.7500,61.9688,52.2744,16589400
1999-10-25,61.6875,62.6797,61.4375,62.0000,52.3008,13855400
1999-10-26,62.7500,63.0938,61.3750,61.5000,51.8790,13542400
1999-10-27,61.3438,61.6250,60.4453,61.4062,51.7999,15225200
1999-10-28,62.3750,63.7500,61.8125,63.5312,53.5925,14103800
1999-10-29,65.0000,66.2500,64.7812,65.7500,55.4641,19000000
1999-11-01,65.7500,66.5312,65.3203,65.4062,55.1742,9681800
1999-11-02,65.7500,66.5625,65.1953,65.4453,55.2071,12834800
1999-11-03,66.3750,67.1250,66.1875,66.7500,56.3077,18752600
1999-11-04,67.6797,67.8125,66.7812,67.5000,56.9404,20048600
1999-11-05,68.8750,69.2188,68.1875,68.1875,57.5203,15134600
1999-11-08,68.4375,69.8047,68.2188,69.5625,58.6802,10890800
1999-11-09,70.1250,70.2500,68.5000,69.0938,58.2848,14629800
1999-11-10,69.1250,70.5938,68.8125,70.0000,59.0493,16561000
1999-11-11,70.7500,71.3438,70.1250,71.2500,60.1038,18501400
1999-11-12,71.6250,72.2500,69.3750,72.1875,60.8946,28646600
1999-11-15,72.2500,72.5000,71.6875,72.0469,60.7759,10909400
1999-11-16,72.3125,74.2188,72.0000,73.8750,62.3181,19126400
1999-11-17,73.8750,74.1953,72.5000,72.8750,61.4745,21683600
1999-11-18,73.3750,75.1094,72.9375,75.1094,63.3594,17738400
1999-11-19,74.7812,75.9062,74.5000,75.7812,63.9261,17939400
1999-11-22,75.9375,77.5000,74.6250,74.6250,62.9507,18841800
1999-11-23,76.4375,76.5000,74.2500,74.9688,63.2407,24047600
1999-11-24,75.1875,77.7422,74.4062,77.4375,65.3233,18617800
1999-11-26,78.4062,78.7812,77.3750,77.6875,65.5341,8045200
1999-11-29,77.5312,78.1875,76.3125,76.4062,64.4533,20485200
1999-11-30,76.5625,76.6875,73.5000,73.5000,62.0017,23702400
1999-12-01,74.3125,75.4688,73.7500,75.0938,63.3461,23205800
1999-12-02,75.3750,77.6250,75.3281,77.4766,65.3562,17229200
1999-12-03,79.3125,80.1875,78.9062,79.1250,66.7468,21444600
1999-12-06,79.4297,80.5000,78.6875,79.8438,67.3531,16018400
1999-12-07,80.0938,80.4062,78.8359,79.8438,67.3531,23397000
1999-12-08,79.8672,80.4922,78.6875,78.8750,66.5359,19563000
1999-12-09,80.0000,80.4375,77.2500,79.2500,66.8522,28445400
1999-12-10,79.9062,80.1875,78.1250,79.9062,67.4058,20428400
1999-12-13,79.6328,81.3359,79.2812,80.9922,68.3219,16209200
1999-12-14,80.7500,81.2188,79.0000,79.5312,67.0895,27760200
1999-12-15,78.6250,81.0625,77.9375,81.0625,68.3811,31797200
1999-12-16,82.1250,83.2500,81.7500,83.0625,70.0683,27219600
1999-12-17,84.5000,84.8750,83.4297,83.7812,70.6746,23892400
1999-12-20,84.4062,85.2500,83.6875,84.8750,71.5973,15392000
1999-12-21,85.1250,89.4375,84.6406,89.4375,75.4460,26003800
1999-12-22,89.1875,89.3125,87.4375,89.1562,75.2087,22313600
1999-12-23,89.8672,90.7500,89.0000,90.2188,76.1050,17543600
1999-12-27,90.3125,90.3438,87.9062,89.6875,75.6569,19281800
1999-12-28,89.7500,90.5000,88.5625,89.1250,75.1824,15346400
1999-12-29,90.0000,92.5000,89.8750,92.5000,78.0294,16512600
1999-12-30,93.6250,93.7500,91.5000,91.5000,77.1859,21887000
1999-12-31,92.6250,93.1875,91.3750,91.3750,77.0804,14464400
2000-01-03,96.1875,96.1875,90.7500,94.7500,79.9274,36345200
2000-01-04,92.0000,93.5000,87.9375,88.2500,74.4443,33786600
2000-01-05,87.5000,89.6250,84.2500,86.0000,72.5462,42496600
2000-01-06,86.8750,88.0000,79.7500,80.0938,67.5639,37134800
2000-01-07,82.9375,90.0000,82.5000,90.0000,75.9205,28138200
2000-01-10,91.0000,93.9375,89.9375,92.5000,78.0294,29675600
2000-01-11,91.7500,92.8750,87.0000,88.0000,74.2334,32546600
2000-01-12,89.0000,89.2422,86.0000,86.0625,72.5990,29050000
2000-01-13,88.5000,91.5000,87.0781,91.2500,76.9750,25165200
2000-01-14,93.0000,93.6250,92.0000,93.3750,78.7675,21898600
2000-01-18,92.0625,94.4375,91.4375,93.8750,79.1893,16752400
2000-01-19,93.4922,96.0000,92.4297,96.0000,80.9818,19006000
2000-01-20,95.5000,96.8750,94.0078,95.0625,80.1910,25958000
2000-01-21,96.5000,96.5625,95.0625,96.2500,81.1927,18698200
2000-01-24,97.4375,97.6250,90.9688,91.6250,77.2913,28340400
2000-01-25,91.8750,94.1172,89.4062,93.0000,78.4512,33276200
2000-01-26,93.2500,93.3125,89.0000,89.2500,75.2879,23095600
2000-01-27,91.7500,92.5000,87.6250,90.5625,76.3950,30739200
2000-01-28,90.0000,90.4688,84.7500,86.0000,72.5462,35313800
2000-01-31,85.8750,90.0000,83.5000,89.6875,75.6569,36014600
2000-02-01,89.5312,92.5000,88.4375,92.0938,77.6867,26417600
2000-02-02,92.2500,94.7188,92.0938,92.8750,78.3457,26169200
2000-02-03,94.3125,96.6250,92.2812,96.5000,81.4037,30579800
2000-02-04,97.0000,98.2422,96.2188,97.1562,81.9572,26640000
2000-02-07,97.2500,98.6250,96.2500,98.5000,83.0908,17761000
2000-02-08,99.3750,102.8750,99.3750,102.6250,86.5705,21999400
2000-02-09,102.0625,102.1953,98.7500,99.0000,83.5125,27258200
2000-02-10,99.8125,102.2500,98.5547,102.2500,86.2541,26341600
2000-02-11,102.0625,102.0625,98.0000,99.8750,84.2507,24876000
2000-02-14,99.9922,100.0000,97.7500,99.7500,84.1452,22814600
2000-02-15,98.9375,100.6250,95.8750,100.4688,84.7516,30572800
2000-02-16,99.9062,101.6875,99.3125,100.0000,84.3561,25310600
2000-02-17,101.1875,103.2500,99.6250,102.1250,86.1487,30080200
2000-02-18,102.6250,103.0000,98.4375,98.4375,83.0380,25271200
2000-02-22,99.0000,99.9375,96.2500,98.7500,83.3017,37226200
2000-02-23,99.6797,105.0000,99.1562,104.2500,87.9413,32170800
2000-02-24,104.8750,106.8047,102.0000,106.5000,89.8392,48868200
2000-02-25,106.1875,107.5000,103.8750,104.0625,87.7831,32617600
2000-02-28,103.2500,105.6875,100.5000,104.0000,87.7304,38216200
2000-02-29,105.7500,107.0938,104.9375,106.7500,90.0501,23978600
2000-03-01,107.2500,108.5625,106.5000,107.6250,90.7883,24468400
2000-03-02,108.0625,108.1875,104.7500,105.1328,88.6859,32739200
2000-03-03,108.0000,111.1250,107.0000,111.0625,93.6880,32017200
2000-03-06,111.7500,113.2188,110.2500,111.9375,94.4261,23268400
2000-03-07,113.8125,113.8750,108.7500,110.2500,93.0026,39471000
2000-03-08,111.0000,112.0000,106.2812,111.2500,93.8462,43512600
2000-03-09,111.2188,115.5000,109.0938,115.0000,97.0095,30101400
2000-03-10,114.8750,116.4375,113.5078,114.5000,96.5877,29750600
2000-03-13,110.0000,114.1250,109.5312,111.5000,94.0571,37544200
2000-03-14,112.7500,113.3750,105.0000,107.3750,90.5774,39106800
2000-03-15,106.5000,107.0000,101.8750,102.8750,86.7814,51202600
2000-03-16,105.3750,109.2500,101.0000,108.7500,91.7373,55282200
2000-03-17,108.0000,111.0625,107.9375,110.8125,93.4771,31422400
2000-03-20,111.0000,111.5000,106.2500,107.6875,90.8410,21167200
2000-03-21,106.1250,111.9375,103.5625,111.7500,94.2679,33435100
2000-03-22,113.5000,115.9688,111.1250,114.0000,96.1659,24370200
2000-03-23,114.4844,117.7500,113.5625,116.0000,97.8531,19227400
2000-03-24,117.4844,120.5000,115.0156,117.5625,99.1712,22063000
2000-03-27,118.0000,119.5000,117.1250,117.7500,99.3293,11752600
2000-03-28,116.9844,117.8125,113.1250,114.7500,96.7987,18336300
2000-03-29,115.3750,115.4375,110.0000,110.0000,92.7917,27189500
2000-03-30,107.2500,112.7500,103.5000,107.2500,90.4719,42328700
2000-03-31,108.1406,110.6250,104.0000,109.5000,92.3700,31349900
2000-04-03,107.7656,109.1250,100.7500,102.9375,86.8341,31551300
