Date,Open,High,Low,Close,AdjClose,Volume
2010-02-11,0.2034,0.2174,0.2028,0.2163,0.2061,6912000
2010-02-12,0.2104,0.2190,0.2092,0.2172,0.2069,17203200
2010-02-16,0.2223,0.2261,0.2188,0.2256,0.2149,19238400
2010-02-17,0.2286,0.2295,0.2252,0.2294,0.2186,38361600
2010-02-18,0.2292,0.2351,0.2278,0.2338,0.2227,77721600
2010-02-19,0.2322,0.2368,0.2304,0.2338,0.2227,92966400
2010-02-22,0.2365,0.2365,0.2295,0.2321,0.2211,50995200
2010-02-23,0.2308,0.2321,0.2200,0.2230,0.2125,82252800
2010-02-24,0.2270,0.2324,0.2258,0.2298,0.2189,70617600
2010-02-25,0.2224,0.2312,0.2180,0.2297,0.2188,91238400
2010-02-26,0.2290,0.2335,0.2267,0.2325,0.2215,57600000
2010-03-01,0.2355,0.2435,0.2355,0.2425,0.2310,28454400
2010-03-02,0.2446,0.2492,0.2433,0.2440,0.2324,48422400
2010-03-03,0.2467,0.2488,0.2429,0.2453,0.2337,47961600
2010-03-04,0.2462,0.2484,0.2423,0.2480,0.2363,29452800
2010-03-05,0.2533,0.2601,0.2520,0.2590,0.2467,26880000
2010-03-08,0.2592,0.2622,0.2592,0.2604,0.2481,25344000
2010-03-09,0.2589,0.2690,0.2587,0.2650,0.2525,46425600
2010-03-10,0.2653,0.2731,0.2652,0.2715,0.2586,40089600
2010-03-11,0.2698,0.2743,0.2680,0.2740,0.2610,53913600
2010-03-12,0.2770,0.2770,0.2714,0.2746,0.2616,36134400
2010-03-15,0.2728,0.2746,0.2669,0.2727,0.2598,42393600
2010-03-16,0.2754,0.2787,0.2726,0.2779,0.2648,46579200
2010-03-17,0.2787,0.2838,0.2775,0.2798,0.2666,39820800
2010-03-18,0.2808,0.2835,0.2789,0.2827,0.2693,52185600
2010-03-19,0.2777,0.2858,0.2747,0.2777,0.2645,40051200
2010-03-22,0.2744,0.2885,0.2734,0.2852,0.2717,58790400
2010-03-23,0.2871,0.2917,0.2827,0.2911,0.2774,55334400
2010-03-24,0.2891,0.2897,0.2852,0.2870,0.2734,89241600
2010-03-25,0.2940,0.2971,0.2849,0.2852,0.2717,93926400
2010-03-26,0.2892,0.2922,0.2822,0.2867,0.2731,84288000
2010-03-29,0.2910,0.2936,0.2885,0.2906,0.2769,38054400
2010-03-30,0.2930,0.2962,0.2877,0.2936,0.2798,39897600
2010-03-31,0.2904,0.2943,0.2877,0.2897,0.2760,59558400
2010-04-01,0.2929,0.2985,0.2826,0.2891,0.2755,116620800
2010-04-05,0.2912,0.2992,0.2891,0.2975,0.2834,67584000
2010-04-06,0.2952,0.3024,0.2933,0.2997,0.2856,58713600
2010-04-07,0.2987,0.3020,0.2928,0.2980,0.2840,106252800
2010-04-08,0.2950,0.3009,0.2905,0.2991,0.2850,69657600
2010-04-09,0.3001,0.3052,0.2978,0.3045,0.2901,58099200
2010-04-12,0.3055,0.3081,0.3035,0.3057,0.2913,48806400
2010-04-13,0.3047,0.3108,0.3020,0.3103,0.2957,67238400
2010-04-14,0.3148,0.3215,0.3141,0.3213,0.3061,61094400
2010-04-15,0.3209,0.3268,0.3207,0.3256,0.3102,45772800
2010-04-16,0.3221,0.3253,0.3079,0.3140,0.2991,129484800
2010-04-19,0.3110,0.3164,0.3021,0.3135,0.2987,112742400
2010-04-20,0.3184,0.3203,0.3124,0.3181,0.3031,56102400
2010-04-21,0.3246,0.3265,0.3177,0.3237,0.3084,83980800
2010-04-22,0.3143,0.3296,0.3089,0.3285,0.3130,122841600
2010-04-23,0.3288,0.3339,0.3249,0.3329,0.3171,82368000
2010-04-26,0.3331,0.3356,0.3288,0.3304,0.3148,80524800
2010-04-27,0.3272,0.3307,0.3073,0.3100,0.2954,133747200
2010-04-28,0.3148,0.3151,0.3032,0.3107,0.2960,125068800
2010-04-29,0.3151,0.3282,0.3150,0.3266,0.3112,84748800
2010-04-30,0.3261,0.3276,0.3065,0.3073,0.2928,88512000
2010-05-03,0.3109,0.3245,0.3109,0.3199,0.3048,52608000
2010-05-04,0.3078,0.3078,0.2847,0.2916,0.2778,137241600
2010-05-05,0.2825,0.2920,0.2771,0.2868,0.2733,138508800
2010-05-06,0.2809,0.2890,0.1771,0.2587,0.2465,217804800
2010-05-07,0.2519,0.2613,0.2232,0.2399,0.2286,248256000
2010-05-10,0.2702,0.2765,0.2687,0.2757,0.2626,189273600
2010-05-11,0.2679,0.2865,0.2663,0.2755,0.2625,147033600
2010-05-12,0.2793,0.2909,0.2782,0.2903,0.2766,108556800
2010-05-13,0.2876,0.2936,0.2755,0.2772,0.2641,105561600
2010-05-14,0.2704,0.2708,0.2513,0.2602,0.2479,154176000
2010-05-17,0.2627,0.2666,0.2469,0.2637,0.2512,136857600
2010-05-18,0.2701,0.2716,0.2490,0.2536,0.2416,190617600
2010-05-19,0.2492,0.2552,0.2381,0.2469,0.2352,237772800
2010-05-20,0.2320,0.2336,0.2173,0.2219,0.2114,272985600
2010-05-21,0.2084,0.2305,0.2062,0.2236,0.2131,234316800
2010-05-24,0.2249,0.2332,0.2229,0.2255,0.2148,155020800
2010-05-25,0.2087,0.2246,0.2021,0.2239,0.2133,172646400
2010-05-26,0.2274,0.2367,0.2153,0.2170,0.2067,208320000
2010-05-27,0.2314,0.2411,0.2296,0.2405,0.2291,173222400
2010-05-28,0.2421,0.2427,0.2305,0.2371,0.2259,166694400
2010-06-01,0.2346,0.2467,0.2292,0.2305,0.2197,202713600
2010-06-02,0.2344,0.2468,0.2294,0.2468,0.2351,113433600
2010-06-03,0.2486,0.2546,0.2439,0.2532,0.2412,114854400
2010-06-04,0.2373,0.2467,0.2248,0.2282,0.2174,245952000
2010-06-07,0.2304,0.2329,0.2146,0.2149,0.2048,168729600
2010-06-08,0.2165,0.2179,0.2052,0.2138,0.2036,265920000
2010-06-09,0.2181,0.2242,0.2066,0.2090,0.1992,229440000
2010-06-10,0.2163,0.2268,0.2146,0.2264,0.2157,155520000
2010-06-11,0.2193,0.2332,0.2193,0.2323,0.2213,125337600
2010-06-14,0.2392,0.2438,0.2315,0.2324,0.2214,227404800
2010-06-15,0.2363,0.2521,0.2356,0.2494,0.2376,200102400
2010-06-16,0.2492,0.2578,0.2480,0.2544,0.2424,158361600
2010-06-17,0.2584,0.2588,0.2504,0.2570,0.2448,163046400
2010-06-18,0.2583,0.2629,0.2551,0.2577,0.2455,139584000
2010-06-21,0.2671,0.2682,0.2467,0.2509,0.2391,219916800
2010-06-22,0.2538,0.2593,0.2437,0.2450,0.2334,179596800
2010-06-23,0.2459,0.2484,0.2362,0.2417,0.2303,224716800
2010-06-24,0.2388,0.2409,0.2286,0.2300,0.2191,239424000
2010-06-25,0.2330,0.2356,0.2249,0.2298,0.2190,177561600
2010-06-28,0.2300,0.2334,0.2228,0.2278,0.2170,164160000
2010-06-29,0.2171,0.2174,0.1964,0.2023,0.1928,438220800
2010-06-30,0.1993,0.2050,0.1908,0.1923,0.1833,183667200
2010-07-01,0.1934,0.1950,0.1793,0.1905,0.1815,252326400
2010-07-02,0.1910,0.1932,0.1836,0.1894,0.1805,147379200
2010-07-06,0.1967,0.2003,0.1856,0.1904,0.1814,156556800
2010-07-07,0.1921,0.2090,0.1916,0.2084,0.1986,160780800
2010-07-08,0.2134,0.2142,0.2046,0.2119,0.2019,207360000
2010-07-09,0.2114,0.2188,0.2103,0.2179,0.2076,142656000
2010-07-12,0.2171,0.2236,0.2157,0.2203,0.2099,98918400
2010-07-13,0.2255,0.2308,0.2206,0.2279,0.2171,174144000
2010-07-14,0.2298,0.2354,0.2268,0.2315,0.2206,109516800
2010-07-15,0.2305,0.2343,0.2230,0.2323,0.2213,114201600
2010-07-16,0.2303,0.2306,0.2126,0.2136,0.2035,181363200
2010-07-19,0.2148,0.2198,0.2097,0.2184,0.2081,124224000
2010-07-20,0.2076,0.2262,0.2059,0.2253,0.2147,127948800
2010-07-21,0.2339,0.2339,0.2160,0.2174,0.2072,172492800
2010-07-22,0.2259,0.2366,0.2259,0.2321,0.2211,126451200
2010-07-23,0.2289,0.2384,0.2276,0.2382,0.2269,138854400
2010-07-26,0.2392,0.2441,0.2359,0.2434,0.2319,100761600
2010-07-27,0.2470,0.2481,0.2403,0.2433,0.2318,119692800
2010-07-28,0.2428,0.2459,0.2352,0.2384,0.2271,77568000
2010-07-29,0.2417,0.2432,0.2253,0.2327,0.2217,152755200
2010-07-30,0.2268,0.2381,0.2227,0.2343,0.2232,129830400
2010-08-02,0.2429,0.2487,0.2403,0.2469,0.2352,90163200
2010-08-03,0.2464,0.2472,0.2405,0.2443,0.2328,64012800
2010-08-04,0.2475,0.2521,0.2443,0.2514,0.2395,80908800
2010-08-05,0.2476,0.2508,0.2446,0.2499,0.2381,66470400
2010-08-06,0.2409,0.2498,0.2373,0.2487,0.2370,152755200
2010-08-09,0.2521,0.2552,0.2489,0.2531,0.2411,85632000
2010-08-10,0.2474,0.2512,0.2409,0.2477,0.2360,158016000
2010-08-11,0.2346,0.2347,0.2237,0.2273,0.2166,154905600
2010-08-12,0.2137,0.2240,0.2124,0.2209,0.2105,145920000
2010-08-13,0.2191,0.2216,0.2165,0.2165,0.2063,57945600
2010-08-16,0.2133,0.2221,0.2105,0.2177,0.2074,95424000
2010-08-17,0.2226,0.2318,0.2213,0.2260,0.2153,120076800
2010-08-18,0.2249,0.2326,0.2223,0.2280,0.2173,71155200
2010-08-19,0.2248,0.2271,0.2138,0.2197,0.2093,102412800
2010-08-20,0.2174,0.2206,0.2136,0.2189,0.2086,88588800
2010-08-23,0.2238,0.2251,0.2126,0.2129,0.2028,108211200
2010-08-24,0.2059,0.2074,0.1982,0.2007,0.1912,144806400
2010-08-25,0.1967,0.2091,0.1958,0.2067,0.1969,144153600
2010-08-26,0.2093,0.2097,0.1986,0.1999,0.1905,132979200
2010-08-27,0.2034,0.2074,0.1911,0.2065,0.1968,192460800
2010-08-30,0.2034,0.2088,0.1998,0.1998,0.1904,105139200
2010-08-31,0.1969,0.2030,0.1940,0.1989,0.1895,156441600
2010-09-01,0.2065,0.2175,0.2062,0.2155,0.2053,129638400
2010-09-02,0.2168,0.2229,0.2152,0.2229,0.2124,54297600
2010-09-03,0.2297,0.2343,0.2273,0.2343,0.2232,135283200
2010-09-07,0.2311,0.2339,0.2281,0.2286,0.2178,97382400
2010-09-08,0.2311,0.2404,0.2311,0.2366,0.2255,113894400
2010-09-09,0.2440,0.2444,0.2386,0.2396,0.2283,90355200
2010-09-10,0.2414,0.2435,0.2374,0.2422,0.2308,63936000
2010-09-13,0.2485,0.2547,0.2483,0.2529,0.2409,83712000
2010-09-14,0.2518,0.2600,0.2504,0.2561,0.2440,84748800
2010-09-15,0.2541,0.2617,0.2520,0.2604,0.2481,67660800
2010-09-16,0.2603,0.2646,0.2575,0.2641,0.2516,93772800
2010-09-17,0.2695,0.2695,0.2629,0.2669,0.2543,114816000
2010-09-20,0.2699,0.2823,0.2690,0.2808,0.2676,105561600
2010-09-21,0.2811,0.2865,0.2770,0.2799,0.2667,173875200
2010-09-22,0.2768,0.2841,0.2740,0.2786,0.2655,96576000
2010-09-23,0.2729,0.2862,0.2721,0.2778,0.2647,137088000
2010-09-24,0.2877,0.2953,0.2863,0.2935,0.2796,126528000
2010-09-27,0.2949,0.2964,0.2893,0.2902,0.2764,97113600
2010-09-28,0.2929,0.2929,0.2763,0.2909,0.2771,146227200
2010-09-29,0.2886,0.2925,0.2853,0.2885,0.2749,63859200
