Date,usd_krw,usdt_krw
2025-01-01,1467.3900,1493.0000
2025-01-02,1473.5200,1484.0000
2025-01-03,1471.6500,1473.0000
2025-01-04,1471.6500,1474.0000
2025-01-05,1471.6500,1473.0000
2025-01-06,1465.5300,1469.0000
2025-01-07,1459.4500,1494.0000
2025-01-08,1451.8800,1498.0000
2025-01-09,1457.9700,1511.0000
2025-01-10,1455.2300,1506.0000
2025-01-11,1455.2300,1497.0000
2025-01-12,1455.2300,1504.0000
2025-01-13,1472.2500,1505.0000
2025-01-14,1458.8900,1486.0000
2025-01-15,1460.4399,1466.0000
2025-01-16,1437.2200,1468.0000
2025-01-17,1453.3199,1467.0000
2025-01-18,1453.3199,1490.0000
2025-01-19,1453.3199,1522.0000
2025-01-20,1457.3800,1500.0000
2025-01-21,1435.5300,1486.0000
2025-01-22,1425.7900,1494.0000
2025-01-23,1434.3400,1493.0000
2025-01-24,1433.9301,1500.0000
2025-01-25,1433.9301,1501.0000
2025-01-26,1433.9301,1524.0000
2025-01-27,1427.6300,1519.0000
2025-01-28,1417.9200,1539.0000
2025-01-29,1443.2600,1534.0000
2025-01-30,1443.3199,1508.0000
2025-01-31,1441.6600,1527.0000
2025-02-01,1441.6600,1564.0000
2025-02-02,1441.6600,1577.0000
2025-02-03,1456.7800,1563.0000
2025-02-04,1459.0500,1576.0000
2025-02-05,1450.1600,1567.0000
2025-02-06,1443.8900,1566.0000
2025-02-07,1442.1500,1550.0000
2025-02-08,1442.1500,1542.0000
2025-02-09,1442.1500,1532.0000
2025-02-10,1450.6200,1516.0000
2025-02-11,1453.2100,1526.0000
2025-02-12,1450.7500,1511.0000
2025-02-13,1452.1200,1509.0000
2025-02-14,1438.7400,1505.0000
2025-02-15,1438.7400,1512.0000
2025-02-16,1438.7400,1513.0000
2025-02-17,1432.6000,1508.0000
2025-02-18,1441.2900,1504.0000
2025-02-19,1440.0800,1493.0000
2025-02-20,1439.9800,1482.0000
2025-02-21,1431.7000,1485.0000
2025-02-22,1431.7000,1474.0000
2025-02-23,1431.7000,1468.0000
2025-02-24,1434.2900,1446.0000
2025-02-25,1428.6500,1460.0000
2025-02-26,1429.5000,1458.0000
2025-02-27,1434.4200,1467.0000
2025-02-28,1449.8600,1475.0000
2025-03-01,1449.8600,1490.0000
2025-03-02,1449.8600,1510.0000
2025-03-03,1459.8000,1509.0000
2025-03-04,1457.9301,1496.0000
2025-03-05,1452.8500,1490.0000
2025-03-06,1443.0300,1488.0000
2025-03-07,1446.5000,1492.0000
2025-03-08,1446.5000,1492.0000
2025-03-09,1446.5000,1500.0000
2025-03-10,1446.2600,1491.0000
2025-03-11,1457.0300,1483.0000
2025-03-12,1451.0200,1481.0000
2025-03-13,1448.7500,1481.0000
2025-03-14,1453.2300,1475.0000
2025-03-15,1453.2300,1472.0000
2025-03-16,1453.2300,1474.0000
2025-03-17,1449.0500,1463.0000
2025-03-18,1442.4900,1467.0000
2025-03-19,1448.9399,1467.0000
2025-03-20,1443.3900,1475.5000
2025-03-21,1465.8199,1480.5000
2025-03-22,1465.8199,1481.0000
2025-03-23,1465.8199,1476.0000
2025-03-24,1464.7800,1472.0000
2025-03-25,1466.2700,1473.5000
2025-03-26,1462.0900,1479.5000
2025-03-27,1465.6801,1476.0000
2025-03-28,1461.8900,1491.0000
2025-03-29,1461.8900,1493.0000
2025-03-30,1469.4100,1495.5000
2025-03-31,1471.9600,1491.5000
2025-04-01,1469.9700,1485.5000
2025-04-02,1466.0400,1488.0000
2025-04-03,1450.6801,1482.0000
2025-04-04,1450.6801,1471.5000
