Date,Open,High,Low,Close,AdjClose,Volume
1999-01-04,13.6042,13.7083,13.2604,13.4375,8.5060,21997800
1999-01-05,13.5417,13.6458,13.4167,13.5417,8.5720,17247000
1999-01-06,13.6875,13.8542,13.5208,13.7708,8.7170,23115600
1999-01-07,13.9375,14.1771,13.8750,14.0208,8.8753,27763800
1999-01-08,14.0000,14.0729,13.7500,13.9167,8.8094,21522000
1999-01-11,13.9167,13.9688,13.3333,13.6042,8.6115,19444200
1999-01-12,13.3958,13.4583,13.0938,13.3958,8.4797,24687600
1999-01-13,13.0000,13.6250,12.8958,13.4375,8.5060,21822000
1999-01-14,13.2917,13.4896,12.9792,13.2917,8.4137,23356200
1999-01-15,13.3021,13.4583,13.1250,13.3542,8.4533,20884200
1999-01-19,13.3750,13.4896,13.0417,13.3438,8.4467,17463600
1999-01-20,13.3438,13.7500,13.0938,13.3750,8.4665,20407800
1999-01-21,13.3542,13.5625,13.1458,13.1771,8.3412,16834800
1999-01-22,13.1771,13.7083,13.0833,13.6667,8.6511,15953400
1999-01-25,13.6354,13.7812,13.3125,13.6667,8.6511,18162000
1999-01-26,13.8229,14.0833,13.6979,13.9271,8.8159,20271000
1999-01-27,14.0312,14.3021,14.0000,14.1979,8.9874,28845600
1999-01-28,14.2083,14.2396,14.0208,14.1875,8.9808,17180400
1999-01-29,14.3333,14.4062,14.1667,14.3333,9.0731,17407200
1999-02-01,14.2917,14.2917,14.0521,14.0833,8.9148,17193000
1999-02-02,13.8542,13.9896,13.4583,13.9375,8.8225,23788200
1999-02-03,13.9688,14.3750,13.9167,14.2917,9.0467,21938400
1999-02-04,14.3854,14.5521,13.9583,13.9583,8.8357,21732600
1999-02-05,14.2292,14.2917,13.7917,14.0417,8.8885,15818400
1999-02-08,14.0417,14.3958,13.8750,14.2396,9.0138,13824600
1999-02-09,14.1875,14.1875,13.6354,13.6875,8.6643,16683600
1999-02-10,13.6667,13.6771,13.4167,13.4896,8.5390,15664200
1999-02-11,13.5000,14.3229,13.4375,14.3021,9.0533,15522000
1999-02-12,14.3021,14.3438,13.8333,14.0625,8.9017,15417000
1999-02-16,14.2500,14.6667,14.2500,14.5938,9.2379,33564000
1999-02-17,14.4479,14.7812,14.1771,14.1771,8.9742,28978800
1999-02-18,14.2500,14.3438,14.0312,14.2292,9.0072,21064800
1999-02-19,14.2500,14.2500,14.0938,14.1250,8.9412,16941000
1999-02-22,14.2396,14.7396,14.2292,14.7083,9.3105,26481600
1999-02-23,14.6979,14.7604,14.4583,14.5833,9.2313,19791600
1999-02-24,14.6979,14.9167,14.0312,14.0938,8.9214,23827800
1999-02-25,14.1875,14.3021,13.9271,14.1667,8.9676,21450600
1999-02-26,14.3750,14.4167,13.9479,14.3542,9.0863,20653200
1999-03-01,14.5208,14.5312,13.9375,14.3125,9.0599,20434200
1999-03-02,14.4583,14.5625,14.1875,14.2396,9.0138,19884600
1999-03-03,14.3333,14.7188,14.3333,14.5625,9.2182,20538000
1999-03-04,14.6562,14.9375,14.6458,14.8958,9.4292,21283800
1999-03-05,15.5000,15.7083,15.2292,15.5417,9.8380,49855200
1999-03-08,15.6875,15.6875,15.3021,15.5729,9.8578,26441400
1999-03-09,15.5729,15.7083,15.4271,15.6667,9.9171,21983400
1999-03-10,15.6979,15.7083,15.5104,15.5938,9.8710,18727800
1999-03-11,15.7500,16.0625,15.6250,15.8854,10.0556,25495200
1999-03-12,15.9896,16.1562,15.9062,16.0625,10.1677,21979800
1999-03-15,16.1667,16.2188,15.8750,16.1250,10.2072,21927000
1999-03-16,16.1771,16.1979,15.9271,16.0000,10.1281,19338000
1999-03-17,16.0729,16.1562,15.7812,16.0625,10.1783,19298400
1999-03-18,16.0104,16.3958,15.9583,16.3646,10.3697,17526000
1999-03-19,16.3750,16.3750,15.7917,15.7917,10.0067,36106200
1999-03-22,15.8125,15.8333,15.4167,15.5521,9.8548,18211800
1999-03-23,15.5104,15.5312,14.8438,15.0833,9.5578,30471000
1999-03-24,15.0625,15.1562,14.6979,14.8333,9.3994,24211200
1999-03-25,14.9688,15.3750,14.9688,15.3125,9.7030,23276400
1999-03-26,15.2812,15.5521,15.0208,15.2604,9.6700,19305600
1999-03-29,15.3854,15.9479,15.3854,15.8333,10.0331,17736600
1999-03-30,15.6667,15.9167,15.6250,15.8333,10.0331,18828600
1999-03-31,16.0625,16.1042,15.3646,15.3646,9.7360,22938600
1999-04-01,15.5729,15.6667,15.4167,15.5417,9.8482,14825400
1999-04-05,15.7500,16.1146,15.6354,15.8958,10.0727,20715600
1999-04-06,15.9375,16.1771,15.8958,15.9479,10.1057,17333400
1999-04-07,16.1667,16.3021,16.0312,16.2500,10.2971,22876800
1999-04-08,16.4167,17.0729,16.2500,17.0417,10.7987,29860800
1999-04-09,16.7500,17.2396,16.6042,17.1250,10.8515,26574000
1999-04-12,17.0417,17.5729,16.9375,17.4792,11.0760,27704400
1999-04-13,17.4271,17.8021,17.2083,17.4271,11.0430,27718200
1999-04-14,17.4271,17.5208,16.3333,16.4375,10.4159,31609800
1999-04-15,16.3958,16.4792,15.5000,16.2917,10.3235,43462800
1999-04-16,16.0833,16.0938,15.4583,15.8333,10.0331,38143800
1999-04-19,16.0000,16.3542,14.6667,14.9583,9.4786,52716000
1999-04-20,15.3333,16.0000,15.0833,15.9167,10.0859,39123900
1999-04-21,16.0000,16.3750,15.6667,16.2500,10.2971,31340700
1999-04-22,16.6667,16.7500,16.1458,16.6875,10.5743,30732900
1999-04-23,16.9792,17.2292,16.8333,16.9792,10.7591,22013100
1999-04-26,17.2917,17.3125,16.9167,16.9792,10.7591,22564500
1999-04-27,17.0417,17.1250,16.6667,16.9167,10.7195,18652200
1999-04-28,16.7917,17.0833,16.3542,16.3958,10.3895,17781600
1999-04-29,16.3333,16.3333,15.1875,15.6250,9.9011,27732000
1999-04-30,15.6667,15.8125,14.3958,15.3333,9.7162,40120500
1999-05-03,15.2917,15.4167,14.8542,15.3750,9.7426,22334400
1999-05-04,15.6042,15.6250,14.4375,14.6667,9.2938,33177600
1999-05-05,14.8125,15.0208,14.3542,15.0208,9.5182,24762600
1999-05-06,14.6667,14.7292,13.8750,14.2917,9.0562,44366700
1999-05-07,14.8750,15.0000,14.3333,14.9167,9.4522,34113300
1999-05-10,14.9375,15.5000,14.8542,15.0625,9.5446,26255700
1999-05-11,15.8333,15.8333,15.2917,15.7708,9.9935,38484600
1999-05-12,15.7917,15.7917,15.1667,15.5208,9.8350,23696700
1999-05-13,15.7917,15.8750,15.5208,15.6667,9.9275,19068900
1999-05-14,15.4167,15.5000,15.2083,15.4583,9.7954,18246300
1999-05-17,15.1250,15.3750,14.9792,15.2292,9.6502,18824400
1999-05-18,15.2917,15.8125,15.0833,15.4792,9.8086,19445100
1999-05-19,15.6458,15.6458,15.1250,15.2292,9.6502,14182200
1999-05-20,15.2083,15.4167,14.8125,14.8333,9.3994,21310200
1999-05-21,14.8750,14.9583,14.2083,14.4167,9.1354,24548100
1999-05-24,14.6667,14.7083,14.0417,14.2708,9.0430,19270800
1999-05-25,14.3125,14.3958,13.8958,14.1250,8.9506,22007700
1999-05-26,14.0625,14.3333,13.8333,14.3125,9.0694,24822300
1999-05-27,14.0417,14.1667,13.6667,13.7083,8.6865,23281800
1999-05-28,13.8542,14.2917,13.7708,14.2083,9.0034,17078100
1999-06-01,14.2292,14.4792,14.0625,14.4792,9.1750,20986500
1999-06-02,14.4583,14.7917,14.2292,14.7917,9.3730,19871700
1999-06-03,15.0000,15.3958,14.8958,15.1667,9.6106,31424100
1999-06-04,15.3333,15.5000,15.1875,15.3333,9.7162,16633200
1999-06-07,15.1250,15.2500,14.9583,15.2500,9.6634,13868100
1999-06-08,15.0833,15.1667,14.7708,14.7917,9.3730,13702200
1999-06-09,14.7917,14.8958,14.6458,14.7083,9.3202,13598700
1999-06-10,14.5833,14.6250,14.2083,14.3750,9.1090,15733200
1999-06-11,14.3750,14.5833,14.1250,14.2292,9.0166,14599500
1999-06-14,14.3333,14.4375,14.2708,14.3750,9.1090,12112200
1999-06-15,14.5000,14.5833,14.1250,14.1667,8.9770,19607400
1999-06-16,14.5208,14.8542,14.5000,14.7917,9.3840,16827600
1999-06-17,14.5625,14.8333,14.5208,14.5417,9.2254,15388800
1999-06-18,14.3958,14.5833,14.2708,14.5833,9.2519,30310500
1999-06-21,14.5000,15.1667,14.4583,15.0208,9.5294,18822000
1999-06-22,15.0625,15.1667,14.7917,14.9792,9.5030,15202200
1999-06-23,15.0000,15.0208,14.5625,14.7917,9.3840,13437900
1999-06-24,14.5417,14.6250,14.2292,14.4375,9.1593,18384600
1999-06-25,14.5833,14.7500,14.4583,14.4792,9.1858,11007900
1999-06-28,14.6667,15.2500,14.6042,15.1875,9.6352,16827600
1999-06-29,15.3125,15.6250,15.1667,15.6042,9.8995,17628600
1999-06-30,15.5208,16.1667,15.1250,16.0833,10.2035,26994000
1999-07-01,15.9792,16.1042,15.6458,15.9167,10.0978,20173200
1999-07-02,16.0417,16.3542,15.9792,16.2500,10.3092,14817000
1999-07-06,16.2917,17.0000,16.2917,16.3958,10.4017,21464100
1999-07-07,16.6667,16.6667,15.9792,16.0000,10.1506,18788400
1999-07-08,15.6667,16.1458,15.4167,15.6667,9.9391,23670300
1999-07-09,15.8125,16.0000,15.7708,15.9792,10.1374,12201600
